Cancer type,Stage at diagnosis,Tumour resection only: % of SoC treatments,Chemotherapy (cytotoxic) only_SACT intent Curative: % of SoC treatments,Chemotherapy (cytotoxic) only_SACT intent Other or unknown: % of SoC treatments,Chemotherapy (cytotoxic) only_SACT intent Palliative: % of SoC treatments,Chemotherapy (other) only_SACT intent Curative: % of SoC treatments,Chemotherapy (other) only_SACT intent Other or unknown: % of SoC treatments,Chemotherapy (other) only_SACT intent Palliative: % of SoC treatments,Radiotherapy only-RTDS intent Curative: % of SoC treatments,Radiotherapy only-RTDS intent Other or unknown: % of SoC treatments,Radiotherapy only-RTDS intent Palliative: % of SoC treatments,Tumour resection and chemotherapy (cytotoxic)_SACT intent Curative: % of SoC treatments,Tumour resection and chemotherapy (cytotoxic)_SACT intent Other or unknown: % of SoC treatments,Tumour resection and chemotherapy (cytotoxic)_SACT intent Palliative: % of SoC treatments,Tumour resection and chemotherapy (other)_SACT intent Curative: % of SoC treatments,Tumour resection and chemotherapy (other)_SACT intent Other or unknown: % of SoC treatments,Tumour resection and chemotherapy (other)_SACT intent Palliative: % of SoC treatments,Tumour resection and radiotherapy-RTDS intent Curative: % of SoC treatments,Tumour resection and radiotherapy-RTDS intent Other or unknown: % of SoC treatments,Tumour resection and radiotherapy-RTDS intent Palliative: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Curative-RTDS intent Curative: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Curative-RTDS intent Other or unknown: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Curative-RTDS intent Palliative: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Other or unknown-RTDS intent Curative: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Other or unknown-RTDS intent Other or unknown: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Other or unknown-RTDS intent Palliative: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Palliative-RTDS intent Curative: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Palliative-RTDS intent Other or unknown: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Palliative-RTDS intent Palliative: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Curative-RTDS intent Curative: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Curative-RTDS intent Other or unknown: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Curative-RTDS intent Palliative: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Other or unknown-RTDS intent Curative: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Other or unknown-RTDS intent Other or unknown: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Other or unknown-RTDS intent Palliative: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Palliative-RTDS intent Curative: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Palliative-RTDS intent Other or unknown: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Palliative-RTDS intent Palliative: % of SoC treatments,"Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Curative-RTDS intent Curative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Curative-RTDS intent Other or unknown: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Curative-RTDS intent Palliative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Other or unknown-RTDS intent Curative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Other or unknown-RTDS intent Other or unknown: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Other or unknown-RTDS intent Palliative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Palliative-RTDS intent Curative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Palliative-RTDS intent Other or unknown: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Palliative-RTDS intent Palliative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Curative-RTDS intent Curative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Curative-RTDS intent Other or unknown: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Curative-RTDS intent Palliative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Other or unknown-RTDS intent Curative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Other or unknown-RTDS intent Other or unknown: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Other or unknown-RTDS intent Palliative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Palliative-RTDS intent Curative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Palliative-RTDS intent Other or unknown: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Palliative-RTDS intent Palliative: % of SoC treatments",Other care: % of SoC treatments
Bladder,3,29.331,2.032,2.844,2.106,0.111,0.591,0.296,4.174,1.293,3.731,7.647,7.499,2.475,0.037,0.222,0.296,0.296,0.96,1.293,7.573,0.111,1.034,0.85,1.367,0.369,1.921,0.074,1.108,0,0,0,0.148,0.111,0.037,0.074,0,0.037,0.332,0.037,0.517,0,0.554,0.074,0.037,0,0.443,0,0,0,0,0.111,0,0,0,0.074,15.774
Bladder,4,11.508,1.918,3.315,9.519,0,0.213,0.474,1.516,1.492,8.88,3.078,4.594,1.965,0.024,0.308,0.142,0.024,0.545,1.208,2.723,0.024,1.231,0.71,1.113,0.781,1.634,0.189,5.115,0.047,0,0,0.047,0.095,0.071,0,0,0.166,0.355,0.024,0.26,0.095,0.426,0.118,0.118,0,0.852,0,0,0,0,0.024,0,0,0,0.118,32.939
Bladder,X,14.561,1.185,5.01,2.073,0.173,0.864,0.271,1.999,1.382,2.863,2.863,7.971,0.74,0.395,1.357,0.148,0.049,0.173,0.296,3.356,0.025,0.395,0.592,1.086,0.173,0.543,0.025,0.839,0.148,0,0,0.049,0.074,0,0.049,0,0.074,0.37,0.025,0.123,0.049,0.222,0.025,0.025,0,0.148,0,0,0,0,0.049,0,0,0,0.025,47.137
Breast,1,21.858,0.028,0.126,0.039,0.004,0.009,0.018,1.087,0.274,0.018,1.929,0.955,0.069,0.056,0.047,0.023,53.161,5.453,0.083,0.174,0.002,0.001,0.024,0.053,0.006,0.009,0,0.006,0.007,0,0,0.004,0.005,0,0,0,0.005,8.447,0.116,0.018,1.148,0.671,0.001,0.217,0.002,0.009,0.131,0.001,0,0.171,0.056,0.001,0.011,0.001,0.004,3.461
Breast,2,16.388,0.226,0.249,0.174,0.017,0.038,0.09,0.811,0.2,0.084,5.55,1.844,0.2,0.087,0.074,0.052,30.386,3.114,0.093,0.661,0.014,0.019,0.093,0.137,0.011,0.014,0.002,0.022,0.006,0,0.002,0.002,0.011,0.002,0,0,0.013,28.385,0.395,0.107,3.035,1.572,0.009,0.595,0.021,0.022,0.218,0.002,0,0.159,0.054,0.003,0.049,0.002,0.017,4.668
Breast,3,5.911,0.825,0.47,0.789,0.036,0.058,0.282,0.42,0.101,0.304,3.849,1.671,0.572,0.08,0.123,0.239,12.618,2.033,0.21,1.006,0.036,0.101,0.166,0.203,0.072,0.152,0.022,0.203,0,0.007,0,0.007,0.014,0.029,0.014,0.014,0.051,50.452,0.637,0.318,4.602,4.088,0.08,1.671,0.036,0.101,0.217,0,0,0.174,0.058,0.014,0.166,0.007,0.058,4.631
Breast,4,2.986,1.523,5.536,13.393,0.085,2.526,6.02,0.556,1.318,6.878,1.052,0.967,2.019,0.036,0.193,0.786,2.526,0.484,0.423,0.278,0.012,0.302,0.169,0.786,1.837,0.629,0.254,5.161,0.024,0.012,0.036,0.073,0.363,1.257,0.157,0.073,2.55,3.578,0.073,0.109,0.737,0.532,0.193,1.475,0.048,0.701,0.048,0,0,0.145,0.121,0.121,0.254,0.012,0.193,28.381
Breast,X,22.603,0.449,1.153,1.463,0.041,0.317,0.745,1.56,0.594,0.635,2.706,1.601,0.235,0.131,0.09,0.124,14.97,2.975,0.083,0.973,0.007,0.069,0.255,0.221,0.104,0.131,0.014,0.338,0.007,0,0,0,0.062,0.152,0.014,0.035,0.193,13.058,0.159,0.069,1.477,1.581,0.007,0.704,0.007,0.09,0.124,0,0,0.076,0.09,0,0.062,0.007,0.014,27.428
Cervix,1,62.509,0,0.071,0.283,0,0,0,2.551,0.921,0.425,0.496,0.354,0.354,0,0,0,5.741,1.347,0,9.213,0.071,0,0.567,0.85,0,0.496,0,0,0.142,0,0,0.567,0.425,0,0,0,0,6.945,0,0,0.425,0.992,0,0.283,0,0,0,0,0,0.213,0.78,0,0,0,0,2.977
Cervix,2,1.793,0.078,0.156,0.701,0,0,0,9.275,1.481,2.027,0.156,0.078,0.078,0,0,0,2.26,0,0.078,52.767,0.468,0.078,4.131,2.572,0,2.572,0,0.156,0.701,0,0,3.585,1.715,0,0,0,0,6.625,0,0,0.624,0.39,0,0.546,0.078,0,0.234,0,0,0.39,0.39,0,0,0,0,3.819
Cervix,3,0.83,0.207,1.037,2.282,0,0,0,12.241,1.245,2.905,0.415,0.415,0,0,0,0,0.83,0,0.207,43.983,0.622,0.207,3.734,1.867,0,3.112,0,1.245,0.415,0,0,2.905,4.149,0,0,0,0,5.809,0.207,0,0.207,0,0.207,0.207,0,0,0.207,0,0,0,0.207,0.207,0,0,0,7.884
Cervix,4,1.048,1.442,2.097,11.927,0,0,0,6.16,1.311,10.092,0.524,0.131,1.18,0,0,0,0.262,0,0.131,16.252,0.131,0.524,1.573,1.966,0.393,5.111,0.131,6.422,0.131,0.131,0,2.49,1.048,0.786,0.131,0,0,1.704,0.131,0,0.131,0.131,0,0.262,0,0.131,0,0,0,0,0,0,0.131,0,0,23.853
Cervix,X,9.274,0.302,1.512,5.948,0,0,0,6.149,2.419,4.637,0.403,0.101,0.302,0,0,0,1.008,0,0,23.387,0.101,0.202,2.016,1.411,0.806,1.512,0.403,1.613,0.101,0,0,1.31,1.21,0.101,0,0,0,3.024,0,0,0.605,0.202,0.101,0.101,0,0.302,0.101,0,0,0.302,0.202,0,0,0,0,28.831
Colon,1,93.59,0.025,0.064,0.013,0,0,0,0.006,0.013,0.006,0.808,0.923,0.286,0.006,0.032,0.083,0.185,0.07,0.076,0.013,0,0,0,0.013,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0.14,0.013,0,0.006,0.019,0,0.032,0,0.013,0,0,0,0.013,0.051,0,0,0,0.013,3.476
Colon,2,71.223,0.353,0.321,0.258,0,0.012,0.004,0.079,0.052,0.095,15.07,4.841,1.236,0.016,0.024,0.04,0.158,0.063,0.099,0.269,0.004,0.008,0.044,0.036,0.004,0.032,0.012,0.012,0.016,0,0,0.024,0.016,0.004,0,0,0,0.301,0.032,0.032,0.048,0.063,0.008,0.036,0.008,0.028,0,0,0,0.032,0.036,0,0,0,0,4.956
Colon,3,23.107,1.067,0.901,0.706,0,0.004,0.004,0.214,0.107,0.107,47.917,11.774,3.734,0.028,0.024,0.028,0.202,0.095,0.119,1.357,0.04,0.032,0.115,0.163,0.016,0.087,0.004,0.052,0.012,0,0,0.075,0.056,0.004,0,0,0,1.091,0.151,0.187,0.135,0.147,0.04,0.063,0.036,0.119,0.012,0.008,0,0.079,0.052,0.008,0,0,0.008,5.714
Colon,4,9.034,2.934,5.195,22.771,0.004,0.047,0.081,0.111,0.153,1.046,8.167,3.673,10.28,0,0.034,0.03,0.026,0.072,0.157,0.434,0.06,0.068,0.072,0.302,0.145,0.298,0.438,1.509,0,0,0,0.026,0.034,0.038,0,0.009,0.021,0.115,0.106,0.106,0.038,0.055,0.068,0.051,0.081,0.366,0,0,0,0,0.021,0.004,0,0,0,31.721
Colon,X,24.655,1.117,1.497,3.063,0.023,0.046,0.104,0.115,0.219,0.541,6.575,2.004,1.175,0,0.023,0.046,0.058,0.046,0.035,0.299,0.023,0.069,0.035,0.081,0.092,0.046,0.058,0.23,0.023,0,0.012,0.012,0.058,0.023,0,0,0.046,0.104,0.046,0.069,0,0.035,0.012,0,0,0.058,0.012,0,0,0,0,0,0,0,0.035,57.186
Esophagus,1,34.854,1.132,1.029,0.549,0,0.034,0.034,4.7,1.441,2.95,9.949,2.298,0.549,0,0,0,0.755,0.377,0.034,8.782,0.069,0.343,1.029,1.029,0.206,0.446,0.034,0.172,0.24,0,0,0.652,0.446,0.069,0.069,0,0,2.298,0.034,0,0.172,0.309,0,0.069,0,0,0,0,0,0.103,0.069,0,0,0,0,22.676
Esophagus,2,5.261,3.75,1.988,2.165,0.05,0.05,0.05,3.65,1.561,5.185,20.916,4.027,1.359,0.025,0,0,0.252,0.076,0.05,17.392,0.378,1.485,1.535,1.963,0.302,1.107,0.05,0.705,0.378,0,0.025,0.831,0.478,0.151,0,0,0.025,6.695,0.453,0.076,0.654,0.579,0.05,0.126,0,0.025,0.05,0.025,0,0.126,0.277,0,0,0,0,13.642
Esophagus,3,2.661,6.265,2.703,7.331,0.01,0,0,2.04,1.025,5.457,19.457,3.738,1.139,0,0,0,0.135,0.041,0.031,13.979,0.342,1.885,1.47,1.667,0.673,1.47,0.176,2.806,0.217,0.01,0,0.435,0.456,0.124,0.01,0,0.01,5.105,0.435,0.197,0.59,0.342,0.01,0.186,0.021,0.01,0.114,0.01,0.01,0.197,0.176,0,0,0,0,14.829
Esophagus,4,0.349,1.632,5.202,29.222,0.009,0.044,0.201,0.471,0.916,7.236,2.2,0.244,0.14,0,0,0,0.009,0.009,0.009,2.374,0.096,0.768,0.227,0.742,1.004,0.847,0.41,8.432,0.017,0,0,0.105,0.157,0.192,0.009,0.009,0.035,0.367,0.096,0.052,0.052,0.035,0,0.026,0.026,0,0,0,0,0.035,0.035,0,0,0,0,35.961
Esophagus,X,2.489,1.637,2.512,6.75,0.022,0.022,0.067,2.131,1.929,6.683,4.216,0.606,0.112,0.022,0,0,0,0.022,0,5.248,0.224,0.628,0.583,1.099,0.538,0.673,0.179,2.31,0.09,0,0,0.135,0.359,0.022,0.022,0,0,0.74,0.112,0,0,0.112,0.022,0,0.022,0,0,0,0,0,0.022,0,0,0,0,57.636
Gallbladder,1,25.532,10.058,4.062,5.803,0,0,0,0,0,0.193,9.284,2.128,1.161,0,0,0,0,0,0,0.193,0.193,0,0.387,0.58,0,0.387,0.193,0.58,0,0,0,0.193,0,0,0,0,0,0.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.878
Gallbladder,2,29.17,11.597,3.925,5.085,0,0,0,0.089,0,0.178,15.789,3.211,4.906,0,0,0,0,0,0.268,0.357,0.089,0.178,0.089,0,0,0.446,0,0.178,0,0,0,0,0.089,0,0,0,0,0.446,0,0.446,0,0.089,0,0.089,0,0.624,0,0,0,0,0,0,0,0,0,22.658
Gallbladder,3,17.605,14.03,5.094,8.222,0,0,0,0.089,0.089,0.089,15.818,3.664,8.132,0,0.089,0,0.268,0,0.447,0.536,0,0.357,0,0.179,0.268,0.447,0,0.447,0,0,0,0.089,0,0,0,0,0,0.268,0,0.179,0,0.089,0.179,0.179,0,0.536,0,0,0,0,0,0,0,0,0,22.609
Gallbladder,4,5.447,0.761,4.485,22.187,0,0,0,0.16,0.12,1.041,1.362,0.841,4.766,0,0,0,0,0,0.12,0,0,0,0.04,0.12,0.04,0.04,0.24,1.522,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.04,0.04,0.04,0,0.28,0,0,0,0,0,0,0,0,0,56.268
Gallbladder,X,10.452,2.362,3.668,12.01,0,0.101,0,0.101,0.101,0.754,2.965,0.955,2.513,0.05,0,0,0.05,0,0.151,0.201,0,0.05,0.05,0.151,0.05,0.201,0.101,0.704,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0.05,0.05,0,0.101,0,0,0,0,0,0,0,0,0,61.96
Head and Neck,1,57.305,0.046,0.069,0.011,0,0.011,0,13.786,2.826,0.149,0.069,0.16,0.069,0.011,0.023,0.069,9.484,0.95,0.092,2.597,0.023,0.011,0.263,0.275,0,0.206,0,0.011,0.092,0,0,0.458,0.206,0,0.057,0,0,2.54,0.034,0.011,0.149,0.24,0,0.126,0.011,0.011,0.103,0,0,0.137,0.103,0,0.011,0,0.011,7.185
Head and Neck,2,28.684,0.038,0.115,0.096,0,0.019,0,23.536,4.746,0.727,0.057,0.096,0.172,0,0.038,0.038,17.202,1.722,0.325,7.826,0.057,0.019,0.804,0.536,0.057,0.44,0,0.057,0.536,0,0,1.301,0.44,0,0.057,0,0.019,3.234,0.019,0.019,0.268,0.383,0.019,0.383,0,0.038,0.287,0,0,0.402,0.096,0,0,0,0.019,5.071
Head and Neck,3,14.519,0.105,0.263,0.158,0.018,0.018,0,11.113,2.528,1.422,0.105,0.105,0.193,0,0,0.018,16.45,2.212,0.439,20.787,0.088,0.088,2.458,1.808,0.018,0.65,0,0.053,1.791,0,0.018,1.773,1.369,0.035,0,0,0,9.515,0.035,0.035,1.106,0.509,0.035,0.421,0,0,0.93,0,0,0.825,0.614,0,0.035,0,0,5.337
