"","Gender","Cancer type","Stage","50-54","55-59","60-64","65-69","70-74","75-79"
"41","Female","Lung","I",1,1,1,1,1,1
"42","Female","Lung","II",1,1,1,1,1,1
"43","Female","Lung","III",1,1,1,1,1,1
"44","Female","Lung","IV",1,1,1,1,1,1
"45","Female","Lymphoma","I",1,1,1,1,1,1
"46","Female","Lymphoma","II",1,1,1,1,1,1
"47","Female","Lymphoma","III",1,1,1,1,1,1
"48","Female","Lymphoma","IV",1,1,1,1,1,1
"49","Female","Melanoma","I",1,1,1,1,1,1
"50","Female","Melanoma","II",1,1,1,1,1,1
"51","Female","Melanoma","III",1,1,1,1,1,1
"52","Female","Melanoma","IV",1,1,1,1,1,1
"53","Female","Ovary","I",1,1,1,1,1,1
"54","Female","Ovary","II",1,1,1,1,1,1
"55","Female","Ovary","III",1,1,1,1,1,1
"56","Female","Ovary","IV",1,1,1,1,1,1
"57","Female","Pancreas","I",1,1,1,1,1,1
"58","Female","Pancreas","II",1,1,1,1,1,1
"59","Female","Pancreas","III",1,1,1,1,1,1
"60","Female","Pancreas","IV",1,1,1,1,1,1
"61","Female","Sarcoma","I",1,1,1,1,1,1
"62","Female","Sarcoma","II",1,1,1,1,1,1
"63","Female","Sarcoma","III",1,1,1,1,1,1
"64","Female","Sarcoma","IV",1,1,1,1,1,1
"65","Female","Stomach","I",1,1,1,1,1,1
"66","Female","Stomach","II",1,1,1,1,1,1
"67","Female","Stomach","III",1,1,1,1,1,1
"68","Female","Stomach","IV",1,1,1,1,1,1
"69","Female","Thyroid","I",1,1,0,0,1,1
"70","Female","Thyroid","II",1,0,1,0,1,1
"71","Female","Thyroid","III",0,1,1,1,1,1
"72","Female","Thyroid","IV",1,1,1,1,1,1
"73","Female","Urothelial Tract","I",1,1,1,1,1,1
"74","Female","Urothelial Tract","II",1,0,1,1,1,1
"75","Female","Urothelial Tract","III",1,1,1,1,1,1
"76","Female","Urothelial Tract","IV",1,1,1,1,1,1
"77","Female","Uterus","I",1,1,1,1,1,1
"78","Female","Uterus","II",1,1,1,1,1,1
"79","Female","Uterus","III",1,1,1,1,1,1
"80","Female","Uterus","IV",1,1,1,1,1,1
"81","Female","all","I",1,1,1,1,1,1
"82","Female","all","II",1,1,1,1,1,1
"83","Female","all","III",1,1,1,1,1,1
"84","Female","all","IV",1,1,1,1,1,0
"85","Male","Anus","I",1,1,1,1,1,1
"86","Male","Anus","II",1,1,1,1,1,1
"87","Male","Anus","III",1,1,1,1,1,1
"88","Male","Anus","IV",1,1,1,1,1,1
"89","Male","Bladder","I",1,1,1,1,1,1
"90","Male","Bladder","II",1,1,1,1,1,1
"91","Male","Bladder","III",1,1,1,1,1,1
"92","Male","Bladder","IV",1,1,1,1,1,1
"93","Male","Colon/Rectum","I",1,1,1,1,1,1
"94","Male","Colon/Rectum","II",1,1,1,1,1,1
"95","Male","Colon/Rectum","III",1,1,1,1,1,1
"96","Male","Colon/Rectum","IV",1,1,1,1,1,1
"97","Male","Esophagus","I",1,1,1,1,1,1
"98","Male","Esophagus","II",1,1,1,1,1,1
"99","Male","Esophagus","III",1,1,1,1,1,1
"100","Male","Esophagus","IV",1,1,1,1,1,1
"101","Male","Gallbladder","I",1,1,1,1,1,1
"102","Male","Gallbladder","II",1,1,1,1,1,1
"103","Male","Gallbladder","III",1,1,1,1,1,1
"104","Male","Gallbladder","IV",1,1,1,1,1,0
"105","Male","Head and Neck","I",1,1,1,1,1,1
"106","Male","Head and Neck","II",1,1,1,1,1,1
"107","Male","Head and Neck","III",1,1,1,1,1,1
"108","Male","Head and Neck","IV",1,1,1,1,1,1
"109","Male","Kidney","I",1,1,1,1,1,1
"110","Male","Kidney","II",1,1,1,1,1,1
"111","Male","Kidney","III",1,1,1,1,1,1
"112","Male","Kidney","IV",1,1,1,1,1,1
"113","Male","Liver/Bile-duct","I",1,1,1,1,1,1
"114","Male","Liver/Bile-duct","II",1,1,1,1,1,1
"115","Male","Liver/Bile-duct","III",1,1,1,1,1,1
"116","Male","Liver/Bile-duct","IV",1,1,1,1,1,1
"117","Male","Lung","I",1,1,1,1,1,1
"118","Male","Lung","II",1,1,1,1,1,1
"119","Male","Lung","III",1,1,1,1,1,1
"120","Male","Lung","IV",1,1,1,1,1,1
"121","Male","Lymphoma","I",1,1,1,1,1,1
"122","Male","Lymphoma","II",1,1,1,1,1,1
"123","Male","Lymphoma","III",1,1,1,1,1,1
"124","Male","Lymphoma","IV",1,1,1,1,1,1
"125","Male","Melanoma","I",1,1,1,1,1,1
"126","Male","Melanoma","II",1,1,1,1,1,1
"127","Male","Melanoma","III",1,1,1,1,1,1
"128","Male","Melanoma","IV",1,1,1,1,1,1
"129","Male","Pancreas","I",1,1,1,1,1,1
"130","Male","Pancreas","II",1,1,1,1,1,1
"131","Male","Pancreas","III",1,1,1,1,1,1
"132","Male","Pancreas","IV",1,1,1,1,1,1
"133","Male","Prostate","I",1,1,0,0,0,0
"134","Male","Prostate","II",1,1,1,0,0,1
"135","Male","Prostate","III",1,1,1,1,1,0
"136","Male","Prostate","IV",1,1,1,1,1,1
"137","Male","Sarcoma","I",1,1,1,1,1,1
"138","Male","Sarcoma","II",1,1,1,1,1,1
"139","Male","Sarcoma","III",1,1,1,1,1,1
"140","Male","Sarcoma","IV",1,1,1,1,1,1
"141","Male","Stomach","I",1,1,1,1,1,1
"142","Male","Stomach","II",1,1,1,1,1,1
"143","Male","Stomach","III",1,1,1,1,1,1
"144","Male","Stomach","IV",1,1,1,1,1,1
"145","Male","Thyroid","I",1,1,0,0,1,1
"146","Male","Thyroid","II",1,0,1,0,1,1
"147","Male","Thyroid","III",0,1,1,1,1,1
"148","Male","Thyroid","IV",1,1,1,1,1,1
"149","Male","Urothelial Tract","I",1,1,1,1,1,1
"150","Male","Urothelial Tract","II",1,0,1,1,1,1
"151","Male","Urothelial Tract","III",1,1,1,1,1,1
"152","Male","Urothelial Tract","IV",1,1,1,1,1,1
"153","Male","all","I",1,1,1,1,1,1
"154","Male","all","II",1,1,1,1,1,1
"155","Male","all","III",1,1,1,1,1,1
"156","Male","all","IV",1,1,1,1,1,0
"157","Total","Total","Total",154,152,153,150,153,150
