"Period","Month","Year","Geography level","Geography","Activity level","Breakdown","Breakdown value","Count","Adjusted count"
"Month","June","2019","National","England","Regimens","Tumour group","Urological excl prostate",3444,3616
"Month","July","2019","National","England","Regimens","Tumour group","Bone and soft tissue",822,751
"Month","July","2019","National","England","Regimens","Tumour group","Brain and CNS",1578,1441
"Month","July","2019","National","England","Regimens","Tumour group","Breast",19805,18083
"Month","July","2019","National","England","Regimens","Tumour group","Colorectal",8653,7901
"Month","July","2019","National","England","Regimens","Tumour group","Endocrine",274,250
"Month","July","2019","National","England","Regimens","Tumour group","Gynaecological",4991,4557
"Month","July","2019","National","England","Regimens","Tumour group","Haematological",22311,20371
"Month","July","2019","National","England","Regimens","Tumour group","Head and Neck",982,897
"Month","July","2019","National","England","Regimens","Tumour group","Lung",8587,7840
"Month","July","2019","National","England","Regimens","Tumour group","Melanoma",2703,2468
"Month","July","2019","National","England","Regimens","Tumour group","Oesophago-gastric",2433,2221
"Month","July","2019","National","England","Regimens","Tumour group","Other cancer",517,472
"Month","July","2019","National","England","Regimens","Tumour group","Other haematology",4888,4463
"Month","July","2019","National","England","Regimens","Tumour group","Prostate",6865,6268
"Month","July","2019","National","England","Regimens","Tumour group","Unknown",1052,961
"Month","July","2019","National","England","Regimens","Tumour group","Upper GI excl OG",3042,2777
"Month","July","2019","National","England","Regimens","Tumour group","Urological excl prostate",3736,3411
"Month","August","2019","National","England","Regimens","Tumour group","Bone and soft tissue",794,794
"Month","August","2019","National","England","Regimens","Tumour group","Brain and CNS",1521,1521
"Month","August","2019","National","England","Regimens","Tumour group","Breast",19427,19427
"Month","August","2019","National","England","Regimens","Tumour group","Colorectal",8192,8192
"Month","August","2019","National","England","Regimens","Tumour group","Endocrine",238,238
"Month","August","2019","National","England","Regimens","Tumour group","Gynaecological",4946,4946
"Month","August","2019","National","England","Regimens","Tumour group","Haematological",21225,21225
"Month","August","2019","National","England","Regimens","Tumour group","Head and Neck",961,961
"Month","August","2019","National","England","Regimens","Tumour group","Lung",8280,8280
"Month","August","2019","National","England","Regimens","Tumour group","Melanoma",2692,2692
"Month","August","2019","National","England","Regimens","Tumour group","Oesophago-gastric",2274,2274
"Month","August","2019","National","England","Regimens","Tumour group","Other cancer",523,523
"Month","August","2019","National","England","Regimens","Tumour group","Other haematology",4595,4595
"Month","August","2019","National","England","Regimens","Tumour group","Prostate",6529,6529
"Month","August","2019","National","England","Regimens","Tumour group","Unknown",1001,1001
"Month","August","2019","National","England","Regimens","Tumour group","Upper GI excl OG",2894,2894
"Month","August","2019","National","England","Regimens","Tumour group","Urological excl prostate",3592,3592
"Month","September","2019","National","England","Regimens","Tumour group","Bone and soft tissue",782,782
"Month","September","2019","National","England","Regimens","Tumour group","Brain and CNS",1559,1559
"Month","September","2019","National","England","Regimens","Tumour group","Breast",19714,19714
"Month","September","2019","National","England","Regimens","Tumour group","Colorectal",8391,8391
"Month","September","2019","National","England","Regimens","Tumour group","Endocrine",268,268
"Month","September","2019","National","England","Regimens","Tumour group","Gynaecological",4864,4864
"Month","September","2019","National","England","Regimens","Tumour group","Haematological",21793,21793
"Month","September","2019","National","England","Regimens","Tumour group","Head and Neck",946,946
"Month","September","2019","National","England","Regimens","Tumour group","Lung",8338,8338
"Month","September","2019","National","England","Regimens","Tumour group","Melanoma",2776,2776
"Month","September","2019","National","England","Regimens","Tumour group","Oesophago-gastric",2274,2274
"Month","September","2019","National","England","Regimens","Tumour group","Other cancer",537,537
"Month","September","2019","National","England","Regimens","Tumour group","Other haematology",4650,4650
"Month","September","2019","National","England","Regimens","Tumour group","Prostate",6574,6574
"Month","September","2019","National","England","Regimens","Tumour group","Unknown",959,959
"Month","September","2019","National","England","Regimens","Tumour group","Upper GI excl OG",2876,2876
"Month","September","2019","National","England","Regimens","Tumour group","Urological excl prostate",3579,3579
"Month","October","2019","National","England","Regimens","Tumour group","Bone and soft tissue",770,703
"Month","October","2019","National","England","Regimens","Tumour group","Brain and CNS",1583,1445
"Month","October","2019","National","England","Regimens","Tumour group","Breast",20426,18650
"Month","October","2019","National","England","Regimens","Tumour group","Colorectal",8734,7975
"Month","October","2019","National","England","Regimens","Tumour group","Endocrine",245,224
"Month","October","2019","National","England","Regimens","Tumour group","Gynaecological",5130,4684
"Month","October","2019","National","England","Regimens","Tumour group","Haematological",22514,20556
"Month","October","2019","National","England","Regimens","Tumour group","Head and Neck",997,910
"Month","October","2019","National","England","Regimens","Tumour group","Lung",8608,7859
"Month","October","2019","National","England","Regimens","Tumour group","Melanoma",2844,2597
"Month","October","2019","National","England","Regimens","Tumour group","Oesophago-gastric",2433,2221
"Month","October","2019","National","England","Regimens","Tumour group","Other cancer",581,530
"Month","October","2019","National","England","Regimens","Tumour group","Other haematology",4949,4519
"Month","October","2019","National","England","Regimens","Tumour group","Prostate",6807,6215
"Month","October","2019","National","England","Regimens","Tumour group","Unknown",1020,931
"Month","October","2019","National","England","Regimens","Tumour group","Upper GI excl OG",2975,2716
"Month","October","2019","National","England","Regimens","Tumour group","Urological excl prostate",3786,3457
"Month","November","2019","National","England","Regimens","Tumour group","Bone and soft tissue",766,766
"Month","November","2019","National","England","Regimens","Tumour group","Brain and CNS",1549,1549
"Month","November","2019","National","England","Regimens","Tumour group","Breast",19844,19844
"Month","November","2019","National","England","Regimens","Tumour group","Colorectal",8535,8535
"Month","November","2019","National","England","Regimens","Tumour group","Endocrine",253,253
"Month","November","2019","National","England","Regimens","Tumour group","Gynaecological",4997,4997
"Month","November","2019","National","England","Regimens","Tumour group","Haematological",21460,21460
"Month","November","2019","National","England","Regimens","Tumour group","Head and Neck",928,928
"Month","November","2019","National","England","Regimens","Tumour group","Lung",8380,8380
"Month","November","2019","National","England","Regimens","Tumour group","Melanoma",2758,2758
"Month","November","2019","National","England","Regimens","Tumour group","Oesophago-gastric",2302,2302
"Month","November","2019","National","England","Regimens","Tumour group","Other cancer",545,545
"Month","November","2019","National","England","Regimens","Tumour group","Other haematology",4750,4750
"Month","November","2019","National","England","Regimens","Tumour group","Prostate",6544,6544
"Month","November","2019","National","England","Regimens","Tumour group","Unknown",933,933
"Month","November","2019","National","England","Regimens","Tumour group","Upper GI excl OG",2911,2911
"Month","November","2019","National","England","Regimens","Tumour group","Urological excl prostate",3595,3595
"Month","December","2019","National","England","Regimens","Tumour group","Bone and soft tissue",797,837
"Month","December","2019","National","England","Regimens","Tumour group","Brain and CNS",1481,1555
"Month","December","2019","National","England","Regimens","Tumour group","Breast",19603,20583
"Month","December","2019","National","England","Regimens","Tumour group","Colorectal",8039,8441
"Month","December","2019","National","England","Regimens","Tumour group","Endocrine",250,262
"Month","December","2019","National","England","Regimens","Tumour group","Gynaecological",4941,5188
"Month","December","2019","National","England","Regimens","Tumour group","Haematological",21553,22631
"Month","December","2019","National","England","Regimens","Tumour group","Head and Neck",909,954
"Month","December","2019","National","England","Regimens","Tumour group","Lung",8031,8433
"Month","December","2019","National","England","Regimens","Tumour group","Melanoma",2683,2817
"Month","December","2019","National","England","Regimens","Tumour group","Oesophago-gastric",2187,2296
"Month","December","2019","National","England","Regimens","Tumour group","Other cancer",607,637
"Month","December","2019","National","England","Regimens","Tumour group","Other haematology",4641,4873
"Month","December","2019","National","England","Regimens","Tumour group","Prostate",6509,6834
"Month","December","2019","National","England","Regimens","Tumour group","Unknown",960,1008
"Month","December","2019","National","England","Regimens","Tumour group","Upper GI excl OG",2739,2876
"Month","December","2019","National","England","Regimens","Tumour group","Urological excl prostate",3590,3770
"Year",NA,"2020","National","England","Regimens","Tumour group","Bone and soft tissue",3309,NA
"Year",NA,"2020","National","England","Regimens","Tumour group","Brain and CNS",6586,NA
"Year",NA,"2020","National","England","Regimens","Tumour group","Breast",62513,NA
"Year",NA,"2020","National","England","Regimens","Tumour group","Colorectal",31578,NA
"Year",NA,"2020","National","England","Regimens","Tumour group","Endocrine",996,NA
"Year",NA,"2020","National","England","Regimens","Tumour group","Gynaecological",19866,NA
"Year",NA,"2020","National","England","Regimens","Tumour group","Haematological",81592,NA
"Year",NA,"2020","National","England","Regimens","Tumour group","Head and Neck",4620,NA
"Year",NA,"2020","National","England","Regimens","Tumour group","Lung",29214,NA
"Year",NA,"2020","National","England","Regimens","Tumour group","Melanoma",7896,NA
"Year",NA,"2020","National","England","Regimens","Tumour group","Oesophago-gastric",9993,NA
"Year",NA,"2020","National","England","Regimens","Tumour group","Other cancer",2014,NA
"Year",NA,"2020","National","England","Regimens","Tumour group","Other haematology",16058,NA
"Year",NA,"2020","National","England","Regimens","Tumour group","Prostate",19820,NA
"Year",NA,"2020","National","England","Regimens","Tumour group","Unknown",3435,NA
"Year",NA,"2020","National","England","Regimens","Tumour group","Upper GI excl OG",10462,NA
"Year",NA,"2020","National","England","Regimens","Tumour group","Urological excl prostate",13068,NA
"Month","January","2020","National","England","Regimens","Tumour group","Bone and soft tissue",816,779
"Month","January","2020","National","England","Regimens","Tumour group","Brain and CNS",1706,1628
"Month","January","2020","National","England","Regimens","Tumour group","Breast",20989,20035
"Month","January","2020","National","England","Regimens","Tumour group","Colorectal",8912,8507
"Month","January","2020","National","England","Regimens","Tumour group","Endocrine",283,270
"Month","January","2020","National","England","Regimens","Tumour group","Gynaecological",5359,5115
"Month","January","2020","National","England","Regimens","Tumour group","Haematological",22996,21951
"Month","January","2020","National","England","Regimens","Tumour group","Head and Neck",900,859
"Month","January","2020","National","England","Regimens","Tumour group","Lung",8664,8270
"Month","January","2020","National","England","Regimens","Tumour group","Melanoma",3002,2866
"Month","January","2020","National","England","Regimens","Tumour group","Oesophago-gastric",2359,2252
"Month","January","2020","National","England","Regimens","Tumour group","Other cancer",655,625
"Month","January","2020","National","England","Regimens","Tumour group","Other haematology",5416,5170
"Month","January","2020","National","England","Regimens","Tumour group","Prostate",7131,6807
"Month","January","2020","National","England","Regimens","Tumour group","Unknown",988,943
"Month","January","2020","National","England","Regimens","Tumour group","Upper GI excl OG",2923,2790
"Month","January","2020","National","England","Regimens","Tumour group","Urological excl prostate",4026,3843
"Month","February","2020","National","England","Regimens","Tumour group","Bone and soft tissue",745,782
"Month","February","2020","National","England","Regimens","Tumour group","Brain and CNS",1459,1532
"Month","February","2020","National","England","Regimens","Tumour group","Breast",20324,21340
"Month","February","2020","National","England","Regimens","Tumour group","Colorectal",8706,9141
"Month","February","2020","National","England","Regimens","Tumour group","Endocrine",274,288
"Month","February","2020","National","England","Regimens","Tumour group","Gynaecological",5137,5394
"Month","February","2020","National","England","Regimens","Tumour group","Haematological",21740,22827
"Month","February","2020","National","England","Regimens","Tumour group","Head and Neck",914,960
"Month","February","2020","National","England","Regimens","Tumour group","Lung",8283,8697
"Month","February","2020","National","England","Regimens","Tumour group","Melanoma",2805,2945
"Month","February","2020","National","England","Regimens","Tumour group","Oesophago-gastric",2304,2419
"Month","February","2020","National","England","Regimens","Tumour group","Other cancer",614,645
"Month","February","2020","National","England","Regimens","Tumour group","Other haematology",4911,5157
"Month","February","2020","National","England","Regimens","Tumour group","Prostate",6958,7306
"Month","February","2020","National","England","Regimens","Tumour group","Unknown",851,894
"Month","February","2020","National","England","Regimens","Tumour group","Upper GI excl OG",2838,2980
"Month","February","2020","National","England","Regimens","Tumour group","Urological excl prostate",3796,3986
"Month","March","2020","National","England","Regimens","Tumour group","Bone and soft tissue",736,703
"Month","March","2020","National","England","Regimens","Tumour group","Brain and CNS",1349,1288
"Month","March","2020","National","England","Regimens","Tumour group","Breast",20216,19297
"Month","March","2020","National","England","Regimens","Tumour group","Colorectal",8475,8090
"Month","March","2020","National","England","Regimens","Tumour group","Endocrine",283,270
"Month","March","2020","National","England","Regimens","Tumour group","Gynaecological",5086,4855
"Month","March","2020","National","England","Regimens","Tumour group","Haematological",22266,21254
"Month","March","2020","National","England","Regimens","Tumour group","Head and Neck",886,846
"Month","March","2020","National","England","Regimens","Tumour group","Lung",8356,7976
"Month","March","2020","National","England","Regimens","Tumour group","Melanoma",2819,2691
"Month","March","2020","National","England","Regimens","Tumour group","Oesophago-gastric",2331,2225
"Month","March","2020","National","England","Regimens","Tumour group","Other cancer",673,642
"Month","March","2020","National","England","Regimens","Tumour group","Other haematology",5225,4988
"Month","March","2020","National","England","Regimens","Tumour group","Prostate",7044,6724
"Month","March","2020","National","England","Regimens","Tumour group","Unknown",825,788
"Month","March","2020","National","England","Regimens","Tumour group","Upper GI excl OG",2852,2722
"Month","March","2020","National","England","Regimens","Tumour group","Urological excl prostate",3862,3686
"Month","April","2020","National","England","Regimens","Tumour group","Bone and soft tissue",691,726
"Month","April","2020","National","England","Regimens","Tumour group","Brain and CNS",973,1022
"Month","April","2020","National","England","Regimens","Tumour group","Breast",16899,17744
"Month","April","2020","National","England","Regimens","Tumour group","Colorectal",5721,6007
"Month","April","2020","National","England","Regimens","Tumour group","Endocrine",241,253
"Month","April","2020","National","England","Regimens","Tumour group","Gynaecological",4257,4470
"Month","April","2020","National","England","Regimens","Tumour group","Haematological",19082,20036
"Month","April","2020","National","England","Regimens","Tumour group","Head and Neck",556,584
"Month","April","2020","National","England","Regimens","Tumour group","Lung",6264,6577
"Month","April","2020","National","England","Regimens","Tumour group","Melanoma",2231,2343
"Month","April","2020","National","England","Regimens","Tumour group","Oesophago-gastric",1858,1951
"Month","April","2020","National","England","Regimens","Tumour group","Other cancer",550,578
"Month","April","2020","National","England","Regimens","Tumour group","Other haematology",4837,5079
"Month","April","2020","National","England","Regimens","Tumour group","Prostate",5623,5904
"Month","April","2020","National","England","Regimens","Tumour group","Unknown",589,618
"Month","April","2020","National","England","Regimens","Tumour group","Upper GI excl OG",2203,2313
"Month","April","2020","National","England","Regimens","Tumour group","Urological excl prostate",3063,3216
"Month","May","2020","National","England","Regimens","Tumour group","Bone and soft tissue",676,747
"Month","May","2020","National","England","Regimens","Tumour group","Brain and CNS",1035,1144
"Month","May","2020","National","England","Regimens","Tumour group","Breast",17112,18913
"Month","May","2020","National","England","Regimens","Tumour group","Colorectal",5964,6592
"Month","May","2020","National","England","Regimens","Tumour group","Endocrine",234,259
"Month","May","2020","National","England","Regimens","Tumour group","Gynaecological",4300,4753
"Month","May","2020","National","England","Regimens","Tumour group","Haematological",19124,21137
"Month","May","2020","National","England","Regimens","Tumour group","Head and Neck",581,642
"Month","May","2020","National","England","Regimens","Tumour group","Lung",6349,7017
"Month","May","2020","National","England","Regimens","Tumour group","Melanoma",2274,2513
"Month","May","2020","National","England","Regimens","Tumour group","Oesophago-gastric",1812,2003
"Month","May","2020","National","England","Regimens","Tumour group","Other cancer",547,605
"Month","May","2020","National","England","Regimens","Tumour group","Other haematology",4651,5141
"Month","May","2020","National","England","Regimens","Tumour group","Prostate",5393,5961
"Month","May","2020","National","England","Regimens","Tumour group","Unknown",581,642
"Month","May","2020","National","England","Regimens","Tumour group","Upper GI excl OG",2261,2499
"Month","May","2020","National","England","Regimens","Tumour group","Urological excl prostate",3017,3335
"Month","June","2020","National","England","Regimens","Tumour group","Bone and soft tissue",769,734
"Month","June","2020","National","England","Regimens","Tumour group","Brain and CNS",1190,1136
"Month","June","2020","National","England","Regimens","Tumour group","Breast",18340,17506
"Month","June","2020","National","England","Regimens","Tumour group","Colorectal",6676,6373
"Month","June","2020","National","England","Regimens","Tumour group","Endocrine",253,242
"Month","June","2020","National","England","Regimens","Tumour group","Gynaecological",4594,4385
"Month","June","2020","National","England","Regimens","Tumour group","Haematological",20924,19973
"Month","June","2020","National","England","Regimens","Tumour group","Head and Neck",622,594
"Month","June","2020","National","England","Regimens","Tumour group","Lung",6740,6434
"Month","June","2020","National","England","Regimens","Tumour group","Melanoma",2584,2467
"Month","June","2020","National","England","Regimens","Tumour group","Oesophago-gastric",1778,1697
"Month","June","2020","National","England","Regimens","Tumour group","Other cancer",604,577
"Month","June","2020","National","England","Regimens","Tumour group","Other haematology",4928,4704
"Month","June","2020","National","England","Regimens","Tumour group","Prostate",6186,5905
"Month","June","2020","National","England","Regimens","Tumour group","Unknown",718,685
"Month","June","2020","National","England","Regimens","Tumour group","Upper GI excl OG",2602,2484
"Month","June","2020","National","England","Regimens","Tumour group","Urological excl prostate",3344,3192
"Month","July","2020","National","England","Regimens","Tumour group","Bone and soft tissue",806,736
"Month","July","2020","National","England","Regimens","Tumour group","Brain and CNS",1298,1185
"Month","July","2020","National","England","Regimens","Tumour group","Breast",19230,17558
"Month","July","2020","National","England","Regimens","Tumour group","Colorectal",7282,6649
"Month","July","2020","National","England","Regimens","Tumour group","Endocrine",257,235
"Month","July","2020","National","England","Regimens","Tumour group","Gynaecological",4958,4527
"Month","July","2020","National","England","Regimens","Tumour group","Haematological",22402,20454
"Month","July","2020","National","England","Regimens","Tumour group","Head and Neck",689,629
"Month","July","2020","National","England","Regimens","Tumour group","Lung",7352,6713
"Month","July","2020","National","England","Regimens","Tumour group","Melanoma",2631,2402
"Month","July","2020","National","England","Regimens","Tumour group","Oesophago-gastric",1823,1664
"Month","July","2020","National","England","Regimens","Tumour group","Other cancer",637,582
"Month","July","2020","National","England","Regimens","Tumour group","Other haematology",5197,4745
"Month","July","2020","National","England","Regimens","Tumour group","Prostate",6682,6101
"Month","July","2020","National","England","Regimens","Tumour group","Unknown",796,727
"Month","July","2020","National","England","Regimens","Tumour group","Upper GI excl OG",2716,2480
"Month","July","2020","National","England","Regimens","Tumour group","Urological excl prostate",3509,3204
"Month","August","2020","National","England","Regimens","Tumour group","Bone and soft tissue",815,856
"Month","August","2020","National","England","Regimens","Tumour group","Brain and CNS",1358,1426
"Month","August","2020","National","England","Regimens","Tumour group","Breast",18598,19528
"Month","August","2020","National","England","Regimens","Tumour group","Colorectal",7254,7617
"Month","August","2020","National","England","Regimens","Tumour group","Endocrine",264,277
"Month","August","2020","National","England","Regimens","Tumour group","Gynaecological",4786,5025
"Month","August","2020","National","England","Regimens","Tumour group","Haematological",21423,22494
"Month","August","2020","National","England","Regimens","Tumour group","Head and Neck",759,797
"Month","August","2020","National","England","Regimens","Tumour group","Lung",7311,7677
"Month","August","2020","National","England","Regimens","Tumour group","Melanoma",2582,2711
"Month","August","2020","National","England","Regimens","Tumour group","Oesophago-gastric",1870,1964
"Month","August","2020","National","England","Regimens","Tumour group","Other cancer",634,666
"Month","August","2020","National","England","Regimens","Tumour group","Other haematology",4566,4794
"Month","August","2020","National","England","Regimens","Tumour group","Prostate",6571,6900
"Month","August","2020","National","England","Regimens","Tumour group","Unknown",812,853
"Month","August","2020","National","England","Regimens","Tumour group","Upper GI excl OG",2687,2821
"Month","August","2020","National","England","Regimens","Tumour group","Urological excl prostate",3551,3729
"Month","September","2020","National","England","Regimens","Tumour group","Bone and soft tissue",834,796
"Month","September","2020","National","England","Regimens","Tumour group","Brain and CNS",1495,1427
"Month","September","2020","National","England","Regimens","Tumour group","Breast",19810,18910
"Month","September","2020","National","England","Regimens","Tumour group","Colorectal",7776,7423
"Month","September","2020","National","England","Regimens","Tumour group","Endocrine",267,255
"Month","September","2020","National","England","Regimens","Tumour group","Gynaecological",5235,4997
"Month","September","2020","National","England","Regimens","Tumour group","Haematological",23454,22388
"Month","September","2020","National","England","Regimens","Tumour group","Head and Neck",873,833
