cancer_type,cost_outcome,Stage,absolute_average,absolute_conf_low,absolute_conf_high
Lymphoma,0-6 months before diagnosis,Missing/Unknown,2372.9,2167.9,2578
Oesophageal,0-6 months before diagnosis,I,1184.4,1045.7,1323
Oesophageal,0-6 months before diagnosis,II,671.4,441.2,901.7
Oesophageal,0-6 months before diagnosis,III,672.8,462.1,883.5
Oesophageal,0-6 months before diagnosis,IV,898.3,687.8,1108.8
Oesophageal,0-6 months before diagnosis,Missing/Unknown,1856.6,1617.3,2095.9
Ovarian,0-6 months before diagnosis,I,1317,1234.8,1399.3
Ovarian,0-6 months before diagnosis,II,1305.6,1101.2,1510
Ovarian,0-6 months before diagnosis,III,1405.2,1269.6,1540.7
Ovarian,0-6 months before diagnosis,IV,1515.1,1366.4,1663.9
Ovarian,0-6 months before diagnosis,Missing/Unknown,1715.3,1548.5,1882.1
Pancreatic,0-6 months before diagnosis,I,2293.6,2052.8,2534.4
Pancreatic,0-6 months before diagnosis,II,2287.3,1915.8,2658.9
Pancreatic,0-6 months before diagnosis,III,2055.1,1672.4,2437.9
Pancreatic,0-6 months before diagnosis,IV,1815.2,1466.5,2163.8
Pancreatic,0-6 months before diagnosis,Missing/Unknown,2679,2315.7,3042.3
Colorectal,1-2 years after diagnosis,I,3063.6,2899.8,3227.5
Colorectal,1-2 years after diagnosis,II,4102.3,3828.8,4375.8
Colorectal,1-2 years after diagnosis,III,6525.2,6257.5,6792.9
Colorectal,1-2 years after diagnosis,IV,15798,15489,16107.1
Colorectal,1-2 years after diagnosis,Missing/Unknown,4862.7,4482.5,5243
Head and neck,1-2 years after diagnosis,I,3378.3,3103.2,3653.5
Head and neck,1-2 years after diagnosis,II,4883.7,4356.5,5411
Head and neck,1-2 years after diagnosis,III,5326.2,4797.4,5855
Head and neck,1-2 years after diagnosis,IV,5714.2,5277.3,6151.2
Head and neck,1-2 years after diagnosis,Missing/Unknown,4063.2,3501.1,4625.2
Liver,1-2 years after diagnosis,I,6741.9,5925,7558.9
Liver,1-2 years after diagnosis,II,7920.5,6516.2,9324.9
Liver,1-2 years after diagnosis,III,9476.6,7832.8,11120.4
Liver,1-2 years after diagnosis,IV,9524.1,8079.5,10968.7
Liver,1-2 years after diagnosis,Missing/Unknown,8674.1,7427.9,9920.3
Lung,1-2 years after diagnosis,I,4234.6,4067.8,4401.4
Lung,1-2 years after diagnosis,II,5921.9,5560.6,6283.2
Lung,1-2 years after diagnosis,III,8745.1,8432.6,9057.6
Lung,1-2 years after diagnosis,IV,12402,12084.3,12719.7
Lung,1-2 years after diagnosis,Missing/Unknown,5604.5,5053.1,6156
Lymphoma,1-2 years after diagnosis,I,3772,3417.9,4126
Lymphoma,1-2 years after diagnosis,II,5622.5,4970.3,6274.7
Lymphoma,1-2 years after diagnosis,III,8227.9,7612.9,8842.9
Lymphoma,1-2 years after diagnosis,IV,8347,7790.5,8903.5
Lymphoma,1-2 years after diagnosis,Missing/Unknown,5948.7,5323.2,6574.2
Oesophageal,1-2 years after diagnosis,I,4784.8,4337.6,5232
Oesophageal,1-2 years after diagnosis,II,6186.5,5427.7,6945.3
Oesophageal,1-2 years after diagnosis,III,7413.9,6713.7,8114.1
Oesophageal,1-2 years after diagnosis,IV,10465.9,9676.7,11255
Oesophageal,1-2 years after diagnosis,Missing/Unknown,6770.1,5886.9,7653.4
Ovarian,1-2 years after diagnosis,I,1913.5,1620.2,2206.8
Ovarian,1-2 years after diagnosis,II,4517.8,3771.6,5264
Ovarian,1-2 years after diagnosis,III,11163.9,10663.5,11664.3
Ovarian,1-2 years after diagnosis,IV,13995.7,13405.9,14585.5
Ovarian,1-2 years after diagnosis,Missing/Unknown,5337.5,4661.6,6013.3
Pancreatic,1-2 years after diagnosis,I,7470,6535.9,8404.2
Pancreatic,1-2 years after diagnosis,II,9014.9,7582.9,10446.8
Pancreatic,1-2 years after diagnosis,III,11839.7,10294.3,13385.2
Pancreatic,1-2 years after diagnosis,IV,12111.7,10644,13579.5
Pancreatic,1-2 years after diagnosis,Missing/Unknown,8446.7,6977.2,9916.2
Colorectal,2-3 years after diagnosis,I,2105.4,1959.5,2251.3
Colorectal,2-3 years after diagnosis,II,2829.2,2584.9,3073.4
Colorectal,2-3 years after diagnosis,III,4340.7,4099.8,4581.5
Colorectal,2-3 years after diagnosis,IV,10874.4,10564.2,11184.7
Colorectal,2-3 years after diagnosis,Missing/Unknown,3244.7,2893.3,3596.1
Head and neck,2-3 years after diagnosis,I,2405.8,2172.6,2638.9
Head and neck,2-3 years after diagnosis,II,2930.1,2478.9,3381.4
Head and neck,2-3 years after diagnosis,III,3423.6,2967.3,3879.9
Head and neck,2-3 years after diagnosis,IV,3682.9,3306.2,4059.7
Head and neck,2-3 years after diagnosis,Missing/Unknown,3007.4,2524.6,3490.2
Liver,2-3 years after diagnosis,I,4464.5,3701.3,5227.7
Liver,2-3 years after diagnosis,II,5882,4551.4,7212.6
Liver,2-3 years after diagnosis,III,5726.2,4043.5,7408.8
Liver,2-3 years after diagnosis,IV,8120.4,6549.4,9691.4
Liver,2-3 years after diagnosis,Missing/Unknown,5885.4,4700.3,7070.6
Lung,2-3 years after diagnosis,I,3299.7,3132.4,3467
Lung,2-3 years after diagnosis,II,5022.9,4645.3,5400.6
Lung,2-3 years after diagnosis,III,7445.5,7099.3,7791.8
Lung,2-3 years after diagnosis,IV,10820.5,10439.7,11201.3
Lung,2-3 years after diagnosis,Missing/Unknown,4470,3866.9,5073.2
Lymphoma,2-3 years after diagnosis,I,2512.9,2216.5,2809.4
Lymphoma,2-3 years after diagnosis,II,3664.8,3117.7,4211.9
Lymphoma,2-3 years after diagnosis,III,5467.1,4948.5,5985.7
Lymphoma,2-3 years after diagnosis,IV,5235.4,4767.3,5703.5
Lymphoma,2-3 years after diagnosis,Missing/Unknown,4611,4084.2,5137.8
Oesophageal,2-3 years after diagnosis,I,3401.3,2962.8,3839.8
Oesophageal,2-3 years after diagnosis,II,4245.8,3479,5012.6
Oesophageal,2-3 years after diagnosis,III,5172.3,4456.4,5888.1
Oesophageal,2-3 years after diagnosis,IV,8466,7495,9437
Oesophageal,2-3 years after diagnosis,Missing/Unknown,3683.5,2760.9,4606.1
Ovarian,2-3 years after diagnosis,I,1449.4,1169,1729.7
Ovarian,2-3 years after diagnosis,II,4328.1,3599.7,5056.5
Ovarian,2-3 years after diagnosis,III,9644.5,9147.2,10141.9
Ovarian,2-3 years after diagnosis,IV,11458.3,10832.9,12083.7
Ovarian,2-3 years after diagnosis,Missing/Unknown,4202,3526.1,4877.9
Pancreatic,2-3 years after diagnosis,I,3600.3,2616.5,4584.1
Pancreatic,2-3 years after diagnosis,II,6216.2,4689,7743.3
Pancreatic,2-3 years after diagnosis,III,8853,7093.5,10612.5
Pancreatic,2-3 years after diagnosis,IV,8693.8,7034.8,10352.8
Pancreatic,2-3 years after diagnosis,Missing/Unknown,5248,3671.1,6824.9
Colorectal,3-4 years after diagnosis,I,1789.9,1637,1942.7
Colorectal,3-4 years after diagnosis,II,2285.3,2028.9,2541.7
Colorectal,3-4 years after diagnosis,III,3379.8,3125,3634.6
Colorectal,3-4 years after diagnosis,IV,8212,7843.7,8580.3
Colorectal,3-4 years after diagnosis,Missing/Unknown,2713.8,2340.2,3087.4
Head and neck,3-4 years after diagnosis,I,2159,1911.1,2406.9
Head and neck,3-4 years after diagnosis,II,2290.7,1805.4,2775.9
Head and neck,3-4 years after diagnosis,III,2671,2177.6,3164.3
Head and neck,3-4 years after diagnosis,IV,2662.8,2257.5,3068
Head and neck,3-4 years after diagnosis,Missing/Unknown,2663.3,2156.1,3170.5
Liver,3-4 years after diagnosis,I,3879.6,2963.9,4795.3
Liver,3-4 years after diagnosis,II,4080.7,2478.7,5682.7
Liver,3-4 years after diagnosis,III,5220.5,3076.2,7364.9
Liver,3-4 years after diagnosis,IV,5859.8,3851.9,7867.8
Liver,3-4 years after diagnosis,Missing/Unknown,4658.1,3239.7,6076.6
Lung,3-4 years after diagnosis,I,3101,2902.8,3299.2
Lung,3-4 years after diagnosis,II,4037.3,3585,4489.5
Lung,3-4 years after diagnosis,III,6004,5569.1,6439
Lung,3-4 years after diagnosis,IV,8664.2,8152.3,9176
Lung,3-4 years after diagnosis,Missing/Unknown,4054.5,3345.2,4763.8
Lymphoma,3-4 years after diagnosis,I,2256.2,1933.8,2578.5
Lymphoma,3-4 years after diagnosis,II,2374.5,1783.6,2965.4
Lymphoma,3-4 years after diagnosis,III,4041,3473.6,4608.4
Lymphoma,3-4 years after diagnosis,IV,3902,3390.8,4413.2
Lymphoma,3-4 years after diagnosis,Missing/Unknown,3987.3,3419.3,4555.3
Oesophageal,3-4 years after diagnosis,I,2575.5,2106.6,3044.4
Oesophageal,3-4 years after diagnosis,II,2927.1,2094.2,3760
Oesophageal,3-4 years after diagnosis,III,3537.6,2756.9,4318.2
Oesophageal,3-4 years after diagnosis,IV,5344.5,4113.1,6575.8
Oesophageal,3-4 years after diagnosis,Missing/Unknown,3357.3,2371.9,4342.8
Ovarian,3-4 years after diagnosis,I,1405.8,1096,1715.6
Ovarian,3-4 years after diagnosis,II,4030.2,3212.2,4848.1
Ovarian,3-4 years after diagnosis,III,8605.6,8030,9181.1
Ovarian,3-4 years after diagnosis,IV,9879.4,9103.5,10655.4
Ovarian,3-4 years after diagnosis,Missing/Unknown,3646.6,2879.9,4413.3
Pancreatic,3-4 years after diagnosis,I,2691.2,1635.2,3747.1
Pancreatic,3-4 years after diagnosis,II,4403.9,2737.4,6070.4
Pancreatic,3-4 years after diagnosis,III,5789,3710.1,7867.9
Pancreatic,3-4 years after diagnosis,IV,6571.8,4706.6,8436.9
Pancreatic,3-4 years after diagnosis,Missing/Unknown,3910.7,2210.6,5610.8
Colorectal,4-5 years after diagnosis,I,1625.7,1461.9,1789.4
Colorectal,4-5 years after diagnosis,II,1850.6,1575.5,2125.6
Colorectal,4-5 years after diagnosis,III,2503.5,2228.8,2778.3
Colorectal,4-5 years after diagnosis,IV,5913.3,5478.6,6347.9
Colorectal,4-5 years after diagnosis,Missing/Unknown,2160,1763.2,2556.9
Head and neck,4-5 years after diagnosis,I,1883.8,1590.2,2177.4
Head and neck,4-5 years after diagnosis,II,1997.2,1412.3,2582
Head and neck,4-5 years after diagnosis,III,2252.2,1662.6,2841.8
Head and neck,4-5 years after diagnosis,IV,2193.7,1708.7,2678.8
Head and neck,4-5 years after diagnosis,Missing/Unknown,2468.7,1884,3053.4
Liver,4-5 years after diagnosis,I,3402.6,2190.8,4614.4
Liver,4-5 years after diagnosis,II,3471.6,1289.9,5653.2
Liver,4-5 years after diagnosis,III,3412.2,406.1,6418.2
Liver,4-5 years after diagnosis,IV,3019.2,87.3,5951.1
Liver,4-5 years after diagnosis,Missing/Unknown,4299.6,2415.7,6183.4
Lung,4-5 years after diagnosis,I,2960.2,2704,3216.3
Lung,4-5 years after diagnosis,II,3454.4,2864.9,4044
Lung,4-5 years after diagnosis,III,4628.7,4042.4,5215
Lung,4-5 years after diagnosis,IV,7076.8,6341.3,7812.3
Lung,4-5 years after diagnosis,Missing/Unknown,3881.4,3004.6,4758.3
Lymphoma,4-5 years after diagnosis,I,2148.5,1751.2,2545.8
Lymphoma,4-5 years after diagnosis,II,2703.5,1969.1,3437.9
Lymphoma,4-5 years after diagnosis,III,3346.9,2638.2,4055.5
Lymphoma,4-5 years after diagnosis,IV,3481.5,2847,4116
Lymphoma,4-5 years after diagnosis,Missing/Unknown,3461.5,2765.9,4157.2
Oesophageal,4-5 years after diagnosis,I,1992.4,1435.8,2549
Oesophageal,4-5 years after diagnosis,II,2741.5,1743.2,3739.7
Oesophageal,4-5 years after diagnosis,III,2771,1826.7,3715.2
Oesophageal,4-5 years after diagnosis,IV,2742.1,1128.5,4355.6
Oesophageal,4-5 years after diagnosis,Missing/Unknown,2799.4,1609.3,3989.5
Ovarian,4-5 years after diagnosis,I,1360,1003.5,1716.6
Ovarian,4-5 years after diagnosis,II,3390.5,2406.3,4374.6
Ovarian,4-5 years after diagnosis,III,7276.8,6575.2,7978.3
Ovarian,4-5 years after diagnosis,IV,7679,6685.6,8672.3
Ovarian,4-5 years after diagnosis,Missing/Unknown,3408,2513.5,4302.5
Pancreatic,4-5 years after diagnosis,I,2455.8,1222.4,3689.2
Pancreatic,4-5 years after diagnosis,II,3843.2,1847.4,5838.9
Pancreatic,4-5 years after diagnosis,III,2933,224,5642.1
Pancreatic,4-5 years after diagnosis,IV,6207.7,3937.7,8477.7
Pancreatic,4-5 years after diagnosis,Missing/Unknown,2647.4,666.8,4628
Colorectal,5-6 years after diagnosis,I,-406.6,-451.7,-361.5
Colorectal,5-6 years after diagnosis,II,-468.6,-544.4,-392.8
Colorectal,5-6 years after diagnosis,III,-372.5,-448.7,-296.4
Colorectal,5-6 years after diagnosis,IV,-164.9,-291.7,-38.2
Colorectal,5-6 years after diagnosis,Missing/Unknown,-497.2,-598.7,-395.6
Head and neck,5-6 years after diagnosis,I,-535.9,-617.8,-454
Head and neck,5-6 years after diagnosis,II,-538.6,-702.8,-374.3
Head and neck,5-6 years after diagnosis,III,-536.2,-704.2,-368.1
Head and neck,5-6 years after diagnosis,IV,-495.9,-632.5,-359.3
Head and neck,5-6 years after diagnosis,Missing/Unknown,-527.1,-682.1,-372.1
Liver,5-6 years after diagnosis,I,-846.1,-1370,-322.3
Liver,5-6 years after diagnosis,II,-753.7,-1703.7,196.3
Liver,5-6 years after diagnosis,III,-35.1,-1358.9,1288.7
Liver,5-6 years after diagnosis,IV,-710.3,-2027.7,607.1
Liver,5-6 years after diagnosis,Missing/Unknown,-863.9,-1661.9,-66
Lung,5-6 years after diagnosis,I,427.5,276.8,578.3
Lung,5-6 years after diagnosis,II,600.9,247.8,954
Lung,5-6 years after diagnosis,III,949.3,592.9,1305.7
Lung,5-6 years after diagnosis,IV,1767.4,1329.8,2205
Lung,5-6 years after diagnosis,Missing/Unknown,349.6,-141.4,840.6
Lymphoma,5-6 years after diagnosis,I,-530.5,-628.2,-432.7
Lymphoma,5-6 years after diagnosis,II,-530.7,-711.8,-349.6
Lymphoma,5-6 years after diagnosis,III,-339.1,-514.8,-163.4
Lymphoma,5-6 years after diagnosis,IV,-329.5,-486.6,-172.5
Lymphoma,5-6 years after diagnosis,Missing/Unknown,-435.2,-602.4,-267.9
Oesophageal,5-6 years after diagnosis,I,-570,-692,-447.9
Oesophageal,5-6 years after diagnosis,II,-365.1,-584.1,-146.1
Oesophageal,5-6 years after diagnosis,III,-572.6,-781.4,-363.8
Oesophageal,5-6 years after diagnosis,IV,-551,-920.2,-181.8
Oesophageal,5-6 years after diagnosis,Missing/Unknown,-649.8,-912.7,-387
Ovarian,5-6 years after diagnosis,I,-301.3,-445.2,-157.4
Ovarian,5-6 years after diagnosis,II,165.9,-242,573.9
Ovarian,5-6 years after diagnosis,III,803.5,499.5,1107.5
Ovarian,5-6 years after diagnosis,IV,433.7,-3.7,871
Ovarian,5-6 years after diagnosis,Missing/Unknown,-128.1,-470.1,214
Pancreatic,5-6 years after diagnosis,I,-362.5,-836.5,111.4
Pancreatic,5-6 years after diagnosis,II,-197.5,-985.6,590.6
Pancreatic,5-6 years after diagnosis,III,-709.5,-1725.9,306.9
Pancreatic,5-6 years after diagnosis,IV,243.2,-664.6,1150.9
Pancreatic,5-6 years after diagnosis,Missing/Unknown,-514.1,-1283.4,255.2
Colorectal,Continuing phase (1-2 years),I,2590.6,2452.3,2728.9
Colorectal,Continuing phase (1-2 years),II,3315.5,3084,3547
Colorectal,Continuing phase (1-2 years),III,4914.6,4686.3,5142.9
Colorectal,Continuing phase (1-2 years),IV,12798,12503.8,13092.1
Colorectal,Continuing phase (1-2 years),Missing/Unknown,3313.6,2980.4,3646.7
Head and neck,Continuing phase (1-2 years),I,2530.5,2314.8,2746.3
Head and neck,Continuing phase (1-2 years),II,3405.7,2988.1,3823.3
Head and neck,Continuing phase (1-2 years),III,3481.8,3059.5,3904.1
Head and neck,Continuing phase (1-2 years),IV,3492.1,3143.5,3840.8
Head and neck,Continuing phase (1-2 years),Missing/Unknown,2832.2,2385.4,3279
Liver,Continuing phase (1-2 years),I,4696.2,3943.4,5449
Liver,Continuing phase (1-2 years),II,5713.8,4400.9,7026.6
Liver,Continuing phase (1-2 years),III,5836.5,4174.8,7498.1
Liver,Continuing phase (1-2 years),IV,5563.6,4012.8,7114.4
Liver,Continuing phase (1-2 years),Missing/Unknown,5521.6,4352.4,6690.8
Lung,Continuing phase (1-2 years),I,2629,2470.3,2787.7
Lung,Continuing phase (1-2 years),II,3635.9,3277.6,3994.1
Lung,Continuing phase (1-2 years),III,5994.9,5666.3,6323.5
Lung,Continuing phase (1-2 years),IV,11786.8,11425.3,12148.3
Lung,Continuing phase (1-2 years),Missing/Unknown,3482.4,2910.1,4054.7
Lymphoma,Continuing phase (1-2 years),I,2836,2536.2,3135.8
Lymphoma,Continuing phase (1-2 years),II,4502.6,3949.3,5056
Lymphoma,Continuing phase (1-2 years),III,6386.9,5862.4,6911.5
Lymphoma,Continuing phase (1-2 years),IV,6476.1,6002.7,6949.6
Lymphoma,Continuing phase (1-2 years),Missing/Unknown,4535.7,4002.9,5068.4
Oesophageal,Continuing phase (1-2 years),I,3164.1,2810.3,3517.8
Oesophageal,Continuing phase (1-2 years),II,2935.3,2316.8,3553.8
Oesophageal,Continuing phase (1-2 years),III,3465.7,2888.3,4043.2
Oesophageal,Continuing phase (1-2 years),IV,6487.4,5702.9,7271.9
Oesophageal,Continuing phase (1-2 years),Missing/Unknown,3744.4,3000.3,4488.5
Ovarian,Continuing phase (1-2 years),I,1440.2,1222.7,1657.8
Ovarian,Continuing phase (1-2 years),II,2945.6,2380.3,3510.8
Ovarian,Continuing phase (1-2 years),III,7146.2,6760.2,7532.1
Ovarian,Continuing phase (1-2 years),IV,9629.8,9144.2,10115.3
Ovarian,Continuing phase (1-2 years),Missing/Unknown,3177.7,2653.1,3702.2
Pancreatic,Continuing phase (1-2 years),I,4237.9,3364.2,5111.5
Pancreatic,Continuing phase (1-2 years),II,4708.4,3352.1,6064.8
Pancreatic,Continuing phase (1-2 years),III,6421.1,4858.5,7983.6
Pancreatic,Continuing phase (1-2 years),IV,8318.5,6845,9792.1
Pancreatic,Continuing phase (1-2 years),Missing/Unknown,4559,3158.6,5959.4
Colorectal,Continuing phase (2-3 years),I,1664,1542.8,1785.2
Colorectal,Continuing phase (2-3 years),II,2110.6,1907.1,2314
Colorectal,Continuing phase (2-3 years),III,3063.5,2861.6,3265.4
Colorectal,Continuing phase (2-3 years),IV,8116.8,7825.9,8407.7
Colorectal,Continuing phase (2-3 years),Missing/Unknown,2198.3,1899.7,2496.8
Head and neck,Continuing phase (2-3 years),I,1735.1,1549.2,1921.1
Head and neck,Continuing phase (2-3 years),II,1955.1,1592.6,2317.6
Head and neck,Continuing phase (2-3 years),III,2261.8,1894.6,2629
Head and neck,Continuing phase (2-3 years),IV,2257.5,1954.7,2560.4
Head and neck,Continuing phase (2-3 years),Missing/Unknown,1984.4,1595.9,2372.8
Liver,Continuing phase (2-3 years),I,2654.6,1981.4,3327.7
Liver,Continuing phase (2-3 years),II,3534.8,2350.3,4719.3
Liver,Continuing phase (2-3 years),III,4350.7,2727.4,5974
Liver,Continuing phase (2-3 years),IV,4063.8,2506.7,5620.8
Liver,Continuing phase (2-3 years),Missing/Unknown,3480.8,2419.8,4541.8
Lung,Continuing phase (2-3 years),I,2080.7,1929.8,2231.5
Lung,Continuing phase (2-3 years),II,3259.5,2911.9,3607
Lung,Continuing phase (2-3 years),III,5131.4,4799.5,5463.3
Lung,Continuing phase (2-3 years),IV,8866.2,8482.1,9250.3
Lung,Continuing phase (2-3 years),Missing/Unknown,3173.1,2612.2,3733.9
Lymphoma,Continuing phase (2-3 years),I,1867.6,1622.4,2112.8
Lymphoma,Continuing phase (2-3 years),II,2949.7,2496.9,3402.5
Lymphoma,Continuing phase (2-3 years),III,4399.7,3968.6,4830.8
Lymphoma,Continuing phase (2-3 years),IV,4023.8,3635.3,4412.2
Lymphoma,Continuing phase (2-3 years),Missing/Unknown,3478,3040.6,3915.4
Oesophageal,Continuing phase (2-3 years),I,2106.4,1773.7,2439.2
Oesophageal,Continuing phase (2-3 years),II,1986.6,1392.8,2580.4
Oesophageal,Continuing phase (2-3 years),III,2386.1,1829.3,2942.9
Oesophageal,Continuing phase (2-3 years),IV,4666.1,3777.6,5554.5
Oesophageal,Continuing phase (2-3 years),Missing/Unknown,1982.8,1266.8,2698.7
Ovarian,Continuing phase (2-3 years),I,1026.2,815,1237.4
Ovarian,Continuing phase (2-3 years),II,3254.4,2696.5,3812.3
Ovarian,Continuing phase (2-3 years),III,6308.5,5915.8,6701.1
Ovarian,Continuing phase (2-3 years),IV,7116.8,6591.8,7641.7
Ovarian,Continuing phase (2-3 years),Missing/Unknown,2384.8,1860.2,2909.3
Pancreatic,Continuing phase (2-3 years),I,2038.4,1280.7,2796.2
Pancreatic,Continuing phase (2-3 years),II,3340.6,2140,4541.2
Pancreatic,Continuing phase (2-3 years),III,4784.8,3295.9,6273.8
Pancreatic,Continuing phase (2-3 years),IV,4843.6,3485.6,6201.7
Pancreatic,Continuing phase (2-3 years),Missing/Unknown,2645.2,1408.4,3882.1
Colorectal,Continuing phase (3-4 years),I,1409.6,1283.9,1535.3
Colorectal,Continuing phase (3-4 years),II,1628.6,1417.3,1840
Colorectal,Continuing phase (3-4 years),III,2338.8,2127.8,2549.8
Colorectal,Continuing phase (3-4 years),IV,5754.6,5422.1,6087.2
Colorectal,Continuing phase (3-4 years),Missing/Unknown,1803.6,1492.5,2114.7
Head and neck,Continuing phase (3-4 years),I,1463.3,1264,1662.7
Head and neck,Continuing phase (3-4 years),II,1631.4,1238.8,2024
Head and neck,Continuing phase (3-4 years),III,1758,1358.6,2157.4
Head and neck,Continuing phase (3-4 years),IV,1765,1437.7,2092.3
Head and neck,Continuing phase (3-4 years),Missing/Unknown,1806.6,1397.4,2215.7
Liver,Continuing phase (3-4 years),I,2479.4,1697.1,3261.8
Liver,Continuing phase (3-4 years),II,2445.9,1055.5,3836.4
Liver,Continuing phase (3-4 years),III,3283.2,1380.7,5185.7
Liver,Continuing phase (3-4 years),IV,2479.1,623.4,4334.9
Liver,Continuing phase (3-4 years),Missing/Unknown,2963,1735.3,4190.8
Lung,Continuing phase (3-4 years),I,2056.4,1880.3,2232.6
Lung,Continuing phase (3-4 years),II,2494.9,2085.1,2904.8
Lung,Continuing phase (3-4 years),III,3905.4,3502.1,4308.7
Lung,Continuing phase (3-4 years),IV,6742.5,6246.2,7238.9
Lung,Continuing phase (3-4 years),Missing/Unknown,2632,1991.8,3272.3
Lymphoma,Continuing phase (3-4 years),I,1611.2,1338.1,1884.4
Lymphoma,Continuing phase (3-4 years),II,1607.3,1105.9,2108.7
Lymphoma,Continuing phase (3-4 years),III,3010.8,2528.7,3493
Lymphoma,Continuing phase (3-4 years),IV,2954.1,2520,3388.2
Lymphoma,Continuing phase (3-4 years),Missing/Unknown,3024.2,2541.3,3507
Oesophageal,Continuing phase (3-4 years),I,1548.4,1184.5,1912.4
Oesophageal,Continuing phase (3-4 years),II,1665.2,1011,2319.4
