characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Ovary.I.65-69.3.negative,rmst,32,18.57 (18.47 to 18.57),18.57,18.47 to 18.57,18.47,18.57,(18.47 to 18.57)
Female.Ovary.II.65-69.3.negative,rmst,32,18.52 (14.57 to 18.57),18.52,14.57 to 18.57,14.57,18.57,(14.57 to 18.57)
Female.Ovary.III.65-69.3.negative,rmst,32,9.83 (7.96 to 11.9),9.83,7.96 to 11.9,7.96,11.9,(7.96 to 11.9)
Female.Ovary.IV.65-69.3.negative,rmst,32,7.52 (5.42 to 10.88),7.52,5.42 to 10.88,5.42,10.88,(5.42 to 10.88)
Female.Ovary.I.70-74.3.negative,rmst,27,14.6 (14.57 to 14.6),14.6,14.57 to 14.6,14.57,14.6,(14.57 to 14.6)
Female.Ovary.II.70-74.3.negative,rmst,27,14.6 (13.34 to 14.6),14.6,13.34 to 14.6,13.34,14.6,(13.34 to 14.6)
Female.Ovary.III.70-74.3.negative,rmst,27,7.73 (6.43 to 9.62),7.73,6.43 to 9.62,6.43,9.62,(6.43 to 9.62)
Female.Ovary.IV.70-74.3.negative,rmst,27,6.94 (5.36 to 9.27),6.94,5.36 to 9.27,5.36,9.27,(5.36 to 9.27)
Female.Ovary.I.75-79.3.negative,rmst,22,11 (10.95 to 11),11,10.95 to 11,10.95,11,(10.95 to 11)
Female.Ovary.II.75-79.3.negative,rmst,22,11 (10.16 to 11),11,10.16 to 11,10.16,11,(10.16 to 11)
Female.Ovary.III.75-79.3.negative,rmst,22,6.71 (5.55 to 8.04),6.71,5.55 to 8.04,5.55,8.04,(5.55 to 8.04)
Female.Ovary.IV.75-79.3.negative,rmst,22,5.62 (4.15 to 7.07),5.62,4.15 to 7.07,4.15,7.07,(4.15 to 7.07)
Female.Ovary.I.50-54.1.positive,rmst,47,25.11 (20.3 to 28.55),25.11,20.3 to 28.55,20.3,28.55,(20.3 to 28.55)
Female.Ovary.II.50-54.1.positive,rmst,47,12.86 (7.51 to 19.89),12.86,7.51 to 19.89,7.51,19.89,(7.51 to 19.89)
Female.Ovary.III.50-54.1.positive,rmst,47,6.59 (5.24 to 8.79),6.59,5.24 to 8.79,5.24,8.79,(5.24 to 8.79)
Female.Ovary.IV.50-54.1.positive,rmst,47,4.02 (3.19 to 6.14),4.02,3.19 to 6.14,3.19,6.14,(3.19 to 6.14)
Female.Ovary.I.55-59.1.positive,rmst,42,26.18 (23.83 to 26.83),26.18,23.83 to 26.83,23.83,26.83,(23.83 to 26.83)
Female.Ovary.II.55-59.1.positive,rmst,42,15.21 (10.22 to 20.38),15.21,10.22 to 20.38,10.22,20.38,(10.22 to 20.38)
Female.Ovary.III.55-59.1.positive,rmst,42,5.02 (4.22 to 6.32),5.02,4.22 to 6.32,4.22,6.32,(4.22 to 6.32)
Female.Ovary.IV.55-59.1.positive,rmst,42,3.28 (2.77 to 4.19),3.28,2.77 to 4.19,2.77,4.19,(2.77 to 4.19)
Female.Ovary.I.60-64.1.positive,rmst,37,22.55 (21.84 to 22.74),22.55,21.84 to 22.74,21.84,22.74,(21.84 to 22.74)
Female.Ovary.II.60-64.1.positive,rmst,37,16.98 (12.91 to 20.43),16.98,12.91 to 20.43,12.91,20.43,(12.91 to 20.43)
Female.Ovary.III.60-64.1.positive,rmst,37,4.31 (3.89 to 4.92),4.31,3.89 to 4.92,3.89,4.92,(3.89 to 4.92)
Female.Ovary.IV.60-64.1.positive,rmst,37,3.57 (2.92 to 4.83),3.57,2.92 to 4.83,2.92,4.83,(2.92 to 4.83)
Female.Ovary.I.65-69.1.positive,rmst,32,18.57 (17.79 to 18.57),18.57,17.79 to 18.57,17.79,18.57,(17.79 to 18.57)
Female.Ovary.II.65-69.1.positive,rmst,32,10.31 (7.01 to 14.12),10.31,7.01 to 14.12,7.01,14.12,(7.01 to 14.12)
Female.Ovary.III.65-69.1.positive,rmst,32,4.4 (3.89 to 5.21),4.4,3.89 to 5.21,3.89,5.21,(3.89 to 5.21)
Female.Ovary.IV.65-69.1.positive,rmst,32,2.69 (2.37 to 3.24),2.69,2.37 to 3.24,2.37,3.24,(2.37 to 3.24)
Female.Ovary.I.70-74.1.positive,rmst,27,14.6 (14.52 to 14.6),14.6,14.52 to 14.6,14.52,14.6,(14.52 to 14.6)
Female.Ovary.II.70-74.1.positive,rmst,27,11.94 (9.42 to 13.61),11.94,9.42 to 13.61,9.42,13.61,(9.42 to 13.61)
Female.Ovary.III.70-74.1.positive,rmst,27,3.41 (3.1 to 3.92),3.41,3.1 to 3.92,3.1,3.92,(3.1 to 3.92)
Female.Ovary.IV.70-74.1.positive,rmst,27,2.32 (1.99 to 2.99),2.32,1.99 to 2.99,1.99,2.99,(1.99 to 2.99)
Female.Ovary.I.75-79.1.positive,rmst,22,11 (10.78 to 11),11,10.78 to 11,10.78,11,(10.78 to 11)
Female.Ovary.II.75-79.1.positive,rmst,22,7.44 (5.31 to 9.03),7.44,5.31 to 9.03,5.31,9.03,(5.31 to 9.03)
Female.Ovary.III.75-79.1.positive,rmst,22,2.94 (2.57 to 3.42),2.94,2.57 to 3.42,2.57,3.42,(2.57 to 3.42)
Female.Ovary.IV.75-79.1.positive,rmst,22,2.1 (1.68 to 2.59),2.1,1.68 to 2.59,1.68,2.59,(1.68 to 2.59)
Female.Ovary.I.50-54.1.5.positive,rmst,47,22.96 (17.79 to 26.71),22.96,17.79 to 26.71,17.79,26.71,(17.79 to 26.71)
Female.Ovary.II.50-54.1.5.positive,rmst,47,12.71 (7.67 to 19.69),12.71,7.67 to 19.69,7.67,19.69,(7.67 to 19.69)
Female.Ovary.III.50-54.1.5.positive,rmst,47,6.21 (4.97 to 8.66),6.21,4.97 to 8.66,4.97,8.66,(4.97 to 8.66)
Female.Ovary.IV.50-54.1.5.positive,rmst,47,3.86 (3.17 to 6.24),3.86,3.17 to 6.24,3.17,6.24,(3.17 to 6.24)
Female.Ovary.I.55-59.1.5.positive,rmst,42,25.8 (23.41 to 26.51),25.8,23.41 to 26.51,23.41,26.51,(23.41 to 26.51)
Female.Ovary.II.55-59.1.5.positive,rmst,42,13.76 (9.18 to 19.24),13.76,9.18 to 19.24,9.18,19.24,(9.18 to 19.24)
Female.Ovary.III.55-59.1.5.positive,rmst,42,4.67 (3.93 to 5.78),4.67,3.93 to 5.78,3.93,5.78,(3.93 to 5.78)
Female.Ovary.IV.55-59.1.5.positive,rmst,42,3.28 (2.76 to 4.29),3.28,2.76 to 4.29,2.76,4.29,(2.76 to 4.29)
Female.Ovary.I.60-64.1.5.positive,rmst,37,22.12 (20.94 to 22.56),22.12,20.94 to 22.56,20.94,22.56,(20.94 to 22.56)
Female.Ovary.II.60-64.1.5.positive,rmst,37,16.43 (11.98 to 20.16),16.43,11.98 to 20.16,11.98,20.16,(11.98 to 20.16)
Female.Ovary.III.60-64.1.5.positive,rmst,37,4.13 (3.75 to 4.71),4.13,3.75 to 4.71,3.75,4.71,(3.75 to 4.71)
Female.Ovary.IV.60-64.1.5.positive,rmst,37,3.47 (2.83 to 4.83),3.47,2.83 to 4.83,2.83,4.83,(2.83 to 4.83)
Female.Ovary.I.65-69.1.5.positive,rmst,32,18.57 (15.57 to 18.57),18.57,15.57 to 18.57,15.57,18.57,(15.57 to 18.57)
Female.Ovary.II.65-69.1.5.positive,rmst,32,9.63 (6.54 to 13.3),9.63,6.54 to 13.3,6.54,13.3,(6.54 to 13.3)
Female.Ovary.III.65-69.1.5.positive,rmst,32,4.15 (3.69 to 4.78),4.15,3.69 to 4.78,3.69,4.78,(3.69 to 4.78)
Female.Ovary.IV.65-69.1.5.positive,rmst,32,2.64 (2.29 to 3.26),2.64,2.29 to 3.26,2.29,3.26,(2.29 to 3.26)
Female.Ovary.I.70-74.1.5.positive,rmst,27,14.6 (14.38 to 14.6),14.6,14.38 to 14.6,14.38,14.6,(14.38 to 14.6)
Female.Ovary.II.70-74.1.5.positive,rmst,27,11.17 (8.27 to 13.33),11.17,8.27 to 13.33,8.27,13.33,(8.27 to 13.33)
Female.Ovary.III.70-74.1.5.positive,rmst,27,3.21 (2.94 to 3.68),3.21,2.94 to 3.68,2.94,3.68,(2.94 to 3.68)
Female.Ovary.IV.70-74.1.5.positive,rmst,27,2.3 (1.97 to 2.98),2.3,1.97 to 2.98,1.97,2.98,(1.97 to 2.98)
Female.Ovary.I.75-79.1.5.positive,rmst,22,10.88 (10.63 to 11),10.88,10.63 to 11,10.63,11,(10.63 to 11)
Female.Ovary.II.75-79.1.5.positive,rmst,22,6.68 (4.79 to 8.55),6.68,4.79 to 8.55,4.79,8.55,(4.79 to 8.55)
Female.Ovary.III.75-79.1.5.positive,rmst,22,2.72 (2.46 to 3.09),2.72,2.46 to 3.09,2.46,3.09,(2.46 to 3.09)
Female.Ovary.IV.75-79.1.5.positive,rmst,22,1.94 (1.6 to 2.47),1.94,1.6 to 2.47,1.6,2.47,(1.6 to 2.47)
Female.Ovary.I.50-54.3.positive,rmst,47,19.87 (14.82 to 24.56),19.87,14.82 to 24.56,14.82,24.56,(14.82 to 24.56)
Female.Ovary.II.50-54.3.positive,rmst,47,10.65 (6.79 to 16.58),10.65,6.79 to 16.58,6.79,16.58,(6.79 to 16.58)
Female.Ovary.III.50-54.3.positive,rmst,47,5.6 (4.6 to 7.4),5.6,4.6 to 7.4,4.6,7.4,(4.6 to 7.4)
Female.Ovary.IV.50-54.3.positive,rmst,47,3.84 (3.09 to 5.95),3.84,3.09 to 5.95,3.09,5.95,(3.09 to 5.95)
Female.Ovary.I.55-59.3.positive,rmst,42,25.23 (21.73 to 26.14),25.23,21.73 to 26.14,21.73,26.14,(21.73 to 26.14)
Female.Ovary.II.55-59.3.positive,rmst,42,13.44 (8.56 to 18.44),13.44,8.56 to 18.44,8.56,18.44,(8.56 to 18.44)
Female.Ovary.III.55-59.3.positive,rmst,42,4.33 (3.78 to 5.27),4.33,3.78 to 5.27,3.78,5.27,(3.78 to 5.27)
Female.Ovary.IV.55-59.3.positive,rmst,42,3.16 (2.68 to 4.09),3.16,2.68 to 4.09,2.68,4.09,(2.68 to 4.09)
Female.Ovary.I.60-64.3.positive,rmst,37,21.62 (19.67 to 22.25),21.62,19.67 to 22.25,19.67,22.25,(19.67 to 22.25)
Female.Ovary.II.60-64.3.positive,rmst,37,15.61 (11.7 to 19.64),15.61,11.7 to 19.64,11.7,19.64,(11.7 to 19.64)
Female.Ovary.III.60-64.3.positive,rmst,37,3.84 (3.54 to 4.31),3.84,3.54 to 4.31,3.54,4.31,(3.54 to 4.31)
Female.Ovary.IV.60-64.3.positive,rmst,37,3.25 (2.69 to 4.3),3.25,2.69 to 4.3,2.69,4.3,(2.69 to 4.3)
Female.Ovary.I.65-69.3.positive,rmst,32,16.87 (13.79 to 18.29),16.87,13.79 to 18.29,13.79,18.29,(13.79 to 18.29)
Female.Ovary.II.65-69.3.positive,rmst,32,9.02 (6.28 to 12.16),9.02,6.28 to 12.16,6.28,12.16,(6.28 to 12.16)
Female.Ovary.III.65-69.3.positive,rmst,32,3.87 (3.52 to 4.4),3.87,3.52 to 4.4,3.52,4.4,(3.52 to 4.4)
Female.Ovary.IV.65-69.3.positive,rmst,32,2.53 (2.23 to 3.1),2.53,2.23 to 3.1,2.23,3.1,(2.23 to 3.1)
Female.Ovary.I.70-74.3.positive,rmst,27,14.54 (13.97 to 14.6),14.54,13.97 to 14.6,13.97,14.6,(13.97 to 14.6)
Female.Ovary.II.70-74.3.positive,rmst,27,10.44 (7.86 to 12.9),10.44,7.86 to 12.9,7.86,12.9,(7.86 to 12.9)
Female.Ovary.III.70-74.3.positive,rmst,27,2.96 (2.7 to 3.29),2.96,2.7 to 3.29,2.7,3.29,(2.7 to 3.29)
Female.Ovary.IV.70-74.3.positive,rmst,27,2.14 (1.88 to 2.68),2.14,1.88 to 2.68,1.88,2.68,(1.88 to 2.68)
Female.Ovary.I.75-79.3.positive,rmst,22,10.73 (10.46 to 10.89),10.73,10.46 to 10.89,10.46,10.89,(10.46 to 10.89)
Female.Ovary.II.75-79.3.positive,rmst,22,6 (4.49 to 7.97),6,4.49 to 7.97,4.49,7.97,(4.49 to 7.97)
Female.Ovary.III.75-79.3.positive,rmst,22,2.47 (2.25 to 2.83),2.47,2.25 to 2.83,2.25,2.83,(2.25 to 2.83)
Female.Ovary.IV.75-79.3.positive,rmst,22,1.88 (1.55 to 2.33),1.88,1.55 to 2.33,1.55,2.33,(1.55 to 2.33)
