characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Male.Prostate.II.60-64.3.negative,rmst,37,20.32 (20.31 to 20.32),20.32,20.31 to 20.32,20.31,20.32,(20.31 to 20.32)
Male.Prostate.III.60-64.3.negative,rmst,37,20.32 (20.3 to 20.32),20.32,20.3 to 20.32,20.3,20.32,(20.3 to 20.32)
Male.Prostate.IV.60-64.3.negative,rmst,37,14.86 (12.93 to 16.7),14.86,12.93 to 16.7,12.93,16.7,(12.93 to 16.7)
Male.Prostate.III.65-69.3.negative,rmst,32,16.43 (16.43 to 16.43),16.43,16.43 to 16.43,16.43,16.43,(16.43 to 16.43)
Male.Prostate.IV.65-69.3.negative,rmst,32,13.49 (12.31 to 14.71),13.49,12.31 to 14.71,12.31,14.71,(12.31 to 14.71)
Male.Prostate.III.70-74.3.negative,rmst,27,12.8 (12.8 to 12.8),12.8,12.8 to 12.8,12.8,12.8,(12.8 to 12.8)
Male.Prostate.IV.70-74.3.negative,rmst,27,11.92 (11.18 to 12.2),11.92,11.18 to 12.2,11.18,12.2,(11.18 to 12.2)
Male.Prostate.II.75-79.3.negative,rmst,22,9.59 (9.58 to 9.59),9.59,9.58 to 9.59,9.58,9.59,(9.58 to 9.59)
Male.Prostate.IV.75-79.3.negative,rmst,22,9.4 (9.23 to 9.48),9.4,9.23 to 9.48,9.23,9.48,(9.23 to 9.48)
Male.Prostate.I.50-54.1.positive,rmst,47,28.8 (28.77 to 28.8),28.8,28.77 to 28.8,28.77,28.8,(28.77 to 28.8)
Male.Prostate.II.50-54.1.positive,rmst,47,28.8 (28.77 to 28.8),28.8,28.77 to 28.8,28.77,28.8,(28.77 to 28.8)
Male.Prostate.III.50-54.1.positive,rmst,47,28.8 (28.51 to 28.8),28.8,28.51 to 28.8,28.51,28.8,(28.51 to 28.8)
Male.Prostate.IV.50-54.1.positive,rmst,47,9.8 (6.95 to 14.06),9.8,6.95 to 14.06,6.95,14.06,(6.95 to 14.06)
Male.Prostate.I.55-59.1.positive,rmst,42,24.46 (24.45 to 24.46),24.46,24.45 to 24.46,24.45,24.46,(24.45 to 24.46)
Male.Prostate.II.55-59.1.positive,rmst,42,24.46 (24.44 to 24.46),24.46,24.44 to 24.46,24.44,24.46,(24.44 to 24.46)
Male.Prostate.III.55-59.1.positive,rmst,42,24.46 (24.43 to 24.46),24.46,24.43 to 24.46,24.43,24.46,(24.43 to 24.46)
Male.Prostate.IV.55-59.1.positive,rmst,42,7.27 (6.24 to 8.81),7.27,6.24 to 8.81,6.24,8.81,(6.24 to 8.81)
Male.Prostate.II.60-64.1.positive,rmst,37,20.32 (20.31 to 20.32),20.32,20.31 to 20.32,20.31,20.32,(20.31 to 20.32)
Male.Prostate.III.60-64.1.positive,rmst,37,20.32 (20.31 to 20.32),20.32,20.31 to 20.32,20.31,20.32,(20.31 to 20.32)
Male.Prostate.IV.60-64.1.positive,rmst,37,8.33 (7.39 to 9.34),8.33,7.39 to 9.34,7.39,9.34,(7.39 to 9.34)
Male.Prostate.III.65-69.1.positive,rmst,32,16.43 (16.43 to 16.43),16.43,16.43 to 16.43,16.43,16.43,(16.43 to 16.43)
Male.Prostate.IV.65-69.1.positive,rmst,32,7.9 (7.3 to 8.71),7.9,7.3 to 8.71,7.3,8.71,(7.3 to 8.71)
Male.Prostate.III.70-74.1.positive,rmst,27,12.8 (12.8 to 12.8),12.8,12.8 to 12.8,12.8,12.8,(12.8 to 12.8)
Male.Prostate.IV.70-74.1.positive,rmst,27,7.01 (6.51 to 7.53),7.01,6.51 to 7.53,6.51,7.53,(6.51 to 7.53)
Male.Prostate.II.75-79.1.positive,rmst,22,9.59 (9.58 to 9.59),9.59,9.58 to 9.59,9.58,9.59,(9.58 to 9.59)
Male.Prostate.IV.75-79.1.positive,rmst,22,6.04 (5.64 to 6.44),6.04,5.64 to 6.44,5.64,6.44,(5.64 to 6.44)
Male.Prostate.I.50-54.1.5.positive,rmst,47,28.8 (28.79 to 28.8),28.8,28.79 to 28.8,28.79,28.8,(28.79 to 28.8)
Male.Prostate.II.50-54.1.5.positive,rmst,47,28.8 (28.77 to 28.8),28.8,28.77 to 28.8,28.77,28.8,(28.77 to 28.8)
Male.Prostate.III.50-54.1.5.positive,rmst,47,28.8 (20.91 to 28.8),28.8,20.91 to 28.8,20.91,28.8,(20.91 to 28.8)
Male.Prostate.IV.50-54.1.5.positive,rmst,47,9.2 (6.63 to 13.82),9.2,6.63 to 13.82,6.63,13.82,(6.63 to 13.82)
Male.Prostate.II.55-59.1.5.positive,rmst,42,24.46 (24.44 to 24.46),24.46,24.44 to 24.46,24.44,24.46,(24.44 to 24.46)
Male.Prostate.III.55-59.1.5.positive,rmst,42,24.46 (24.27 to 24.46),24.46,24.27 to 24.46,24.27,24.46,(24.27 to 24.46)
Male.Prostate.IV.55-59.1.5.positive,rmst,42,6.97 (5.98 to 8.48),6.97,5.98 to 8.48,5.98,8.48,(5.98 to 8.48)
Male.Prostate.III.60-64.1.5.positive,rmst,37,20.32 (20.3 to 20.32),20.32,20.3 to 20.32,20.3,20.32,(20.3 to 20.32)
Male.Prostate.IV.60-64.1.5.positive,rmst,37,7.89 (7.04 to 8.99),7.89,7.04 to 8.99,7.04,8.99,(7.04 to 8.99)
Male.Prostate.III.65-69.1.5.positive,rmst,32,16.43 (16.42 to 16.43),16.43,16.42 to 16.43,16.42,16.43,(16.42 to 16.43)
Male.Prostate.IV.65-69.1.5.positive,rmst,32,7.58 (6.98 to 8.33),7.58,6.98 to 8.33,6.98,8.33,(6.98 to 8.33)
Male.Prostate.III.70-74.1.5.positive,rmst,27,12.8 (12.8 to 12.8),12.8,12.8 to 12.8,12.8,12.8,(12.8 to 12.8)
Male.Prostate.IV.70-74.1.5.positive,rmst,27,6.69 (6.25 to 7.18),6.69,6.25 to 7.18,6.25,7.18,(6.25 to 7.18)
Male.Prostate.IV.75-79.1.5.positive,rmst,22,5.78 (5.41 to 6.16),5.78,5.41 to 6.16,5.41,6.16,(5.41 to 6.16)
Male.Prostate.II.50-54.3.positive,rmst,47,28.8 (28.76 to 28.8),28.8,28.76 to 28.8,28.76,28.8,(28.76 to 28.8)
Male.Prostate.III.50-54.3.positive,rmst,47,16.7 (10.89 to 28.06),16.7,10.89 to 28.06,10.89,28.06,(10.89 to 28.06)
Male.Prostate.IV.50-54.3.positive,rmst,47,8.62 (6.1 to 12.55),8.62,6.1 to 12.55,6.1,12.55,(6.1 to 12.55)
Male.Prostate.III.55-59.3.positive,rmst,42,24.06 (19.47 to 24.3),24.06,19.47 to 24.3,19.47,24.3,(19.47 to 24.3)
Male.Prostate.IV.55-59.3.positive,rmst,42,6.46 (5.59 to 7.71),6.46,5.59 to 7.71,5.59,7.71,(5.59 to 7.71)
Male.Prostate.III.60-64.3.positive,rmst,37,20.32 (20.3 to 20.32),20.32,20.3 to 20.32,20.3,20.32,(20.3 to 20.32)
Male.Prostate.IV.60-64.3.positive,rmst,37,7.37 (6.6 to 8.35),7.37,6.6 to 8.35,6.6,8.35,(6.6 to 8.35)
Male.Prostate.III.65-69.3.positive,rmst,32,16.43 (16.43 to 16.43),16.43,16.43 to 16.43,16.43,16.43,(16.43 to 16.43)
Male.Prostate.IV.65-69.3.positive,rmst,32,7.05 (6.51 to 7.67),7.05,6.51 to 7.67,6.51,7.67,(6.51 to 7.67)
Male.Prostate.III.70-74.3.positive,rmst,27,12.8 (12.8 to 12.8),12.8,12.8 to 12.8,12.8,12.8,(12.8 to 12.8)
Male.Prostate.IV.70-74.3.positive,rmst,27,6.26 (5.87 to 6.7),6.26,5.87 to 6.7,5.87,6.7,(5.87 to 6.7)
Male.Prostate.IV.75-79.3.positive,rmst,22,5.38 (5.05 to 5.72),5.38,5.05 to 5.72,5.05,5.72,(5.05 to 5.72)
