characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Male.Stomach.IV.65-69.1.negative,rmst,32,1.13 (0.93 to 1.54),1.13,0.93 to 1.54,0.93,1.54,(0.93 to 1.54)
Female.Stomach.I.70-74.1.negative,rmst,27,11.21 (8.85 to 12.22),11.21,8.85 to 12.22,8.85,12.22,(8.85 to 12.22)
Male.Stomach.I.70-74.1.negative,rmst,27,10.33 (8.57 to 11.17),10.33,8.57 to 11.17,8.57,11.17,(8.57 to 11.17)
Female.Stomach.II.70-74.1.negative,rmst,27,5.04 (3.91 to 6.77),5.04,3.91 to 6.77,3.91,6.77,(3.91 to 6.77)
Male.Stomach.II.70-74.1.negative,rmst,27,5.44 (3.95 to 6.64),5.44,3.95 to 6.64,3.95,6.64,(3.95 to 6.64)
Female.Stomach.III.70-74.1.negative,rmst,27,3.64 (2.89 to 4.73),3.64,2.89 to 4.73,2.89,4.73,(2.89 to 4.73)
Male.Stomach.III.70-74.1.negative,rmst,27,3.65 (2.92 to 4.61),3.65,2.92 to 4.61,2.92,4.61,(2.92 to 4.61)
Female.Stomach.IV.70-74.1.negative,rmst,27,1.17 (0.91 to 1.46),1.17,0.91 to 1.46,0.91,1.46,(0.91 to 1.46)
Male.Stomach.IV.70-74.1.negative,rmst,27,1.14 (0.91 to 1.39),1.14,0.91 to 1.39,0.91,1.39,(0.91 to 1.39)
Female.Stomach.I.75-79.1.negative,rmst,22,8.84 (7.48 to 9.71),8.84,7.48 to 9.71,7.48,9.71,(7.48 to 9.71)
Male.Stomach.I.75-79.1.negative,rmst,22,8.37 (7.37 to 8.91),8.37,7.37 to 8.91,7.37,8.91,(7.37 to 8.91)
Female.Stomach.II.75-79.1.negative,rmst,22,4.58 (3.68 to 5.47),4.58,3.68 to 5.47,3.68,5.47,(3.68 to 5.47)
Male.Stomach.II.75-79.1.negative,rmst,22,4.51 (3.71 to 5.31),4.51,3.71 to 5.31,3.71,5.31,(3.71 to 5.31)
Female.Stomach.III.75-79.1.negative,rmst,22,3.5 (2.72 to 4.06),3.5,2.72 to 4.06,2.72,4.06,(2.72 to 4.06)
Male.Stomach.III.75-79.1.negative,rmst,22,3.35 (2.75 to 3.81),3.35,2.75 to 3.81,2.75,3.81,(2.75 to 3.81)
Female.Stomach.IV.75-79.1.negative,rmst,22,0.85 (0.72 to 1.03),0.85,0.72 to 1.03,0.72,1.03,(0.72 to 1.03)
Male.Stomach.IV.75-79.1.negative,rmst,22,0.85 (0.73 to 1.01),0.85,0.73 to 1.01,0.73,1.01,(0.73 to 1.01)
Female.Stomach.I.50-54.1.5.negative,rmst,47,19.03 (8.79 to 27.25),19.03,8.79 to 27.25,8.79,27.25,(8.79 to 27.25)
Male.Stomach.I.50-54.1.5.negative,rmst,47,18.21 (8.43 to 25.08),18.21,8.43 to 25.08,8.43,25.08,(8.43 to 25.08)
Female.Stomach.II.50-54.1.5.negative,rmst,47,13.14 (6.81 to 19.88),13.14,6.81 to 19.88,6.81,19.88,(6.81 to 19.88)
Male.Stomach.II.50-54.1.5.negative,rmst,47,12.89 (6.31 to 19.27),12.89,6.31 to 19.27,6.31,19.27,(6.31 to 19.27)
Female.Stomach.III.50-54.1.5.negative,rmst,47,8.52 (5.19 to 14.83),8.52,5.19 to 14.83,5.19,14.83,(5.19 to 14.83)
Male.Stomach.III.50-54.1.5.negative,rmst,47,8.32 (5.22 to 14.99),8.32,5.22 to 14.99,5.22,14.99,(5.22 to 14.99)
Female.Stomach.IV.50-54.1.5.negative,rmst,47,2.07 (1.52 to 4.35),2.07,1.52 to 4.35,1.52,4.35,(1.52 to 4.35)
Male.Stomach.IV.50-54.1.5.negative,rmst,47,2.12 (1.5 to 4.35),2.12,1.5 to 4.35,1.5,4.35,(1.5 to 4.35)
Female.Stomach.I.55-59.1.5.negative,rmst,42,12.32 (7.98 to 18.64),12.32,7.98 to 18.64,7.98,18.64,(7.98 to 18.64)
Male.Stomach.I.55-59.1.5.negative,rmst,42,12.47 (8.02 to 18.27),12.47,8.02 to 18.27,8.02,18.27,(8.02 to 18.27)
Female.Stomach.II.55-59.1.5.negative,rmst,42,10.79 (6.68 to 16.45),10.79,6.68 to 16.45,6.68,16.45,(6.68 to 16.45)
Male.Stomach.II.55-59.1.5.negative,rmst,42,10.53 (6.64 to 15.11),10.53,6.64 to 15.11,6.64,15.11,(6.64 to 15.11)
Female.Stomach.III.55-59.1.5.negative,rmst,42,7.49 (4.96 to 12.45),7.49,4.96 to 12.45,4.96,12.45,(4.96 to 12.45)
Male.Stomach.III.55-59.1.5.negative,rmst,42,7.38 (4.94 to 11.37),7.38,4.94 to 11.37,4.94,11.37,(4.94 to 11.37)
Female.Stomach.IV.55-59.1.5.negative,rmst,42,4.27 (2.37 to 6.22),4.27,2.37 to 6.22,2.37,6.22,(2.37 to 6.22)
Male.Stomach.IV.55-59.1.5.negative,rmst,42,4.08 (2.3 to 5.9),4.08,2.3 to 5.9,2.3,5.9,(2.3 to 5.9)
Female.Stomach.I.60-64.1.5.negative,rmst,37,11.45 (7.74 to 16.07),11.45,7.74 to 16.07,7.74,16.07,(7.74 to 16.07)
Male.Stomach.I.60-64.1.5.negative,rmst,37,11.25 (7.57 to 14.94),11.25,7.57 to 14.94,7.57,14.94,(7.57 to 14.94)
Female.Stomach.II.60-64.1.5.negative,rmst,37,5.6 (4.19 to 8.03),5.6,4.19 to 8.03,4.19,8.03,(4.19 to 8.03)
Male.Stomach.II.60-64.1.5.negative,rmst,37,5.59 (4.22 to 8.27),5.59,4.22 to 8.27,4.22,8.27,(4.22 to 8.27)
Female.Stomach.III.60-64.1.5.negative,rmst,37,6.54 (4.56 to 9.47),6.54,4.56 to 9.47,4.56,9.47,(4.56 to 9.47)
Male.Stomach.III.60-64.1.5.negative,rmst,37,6.37 (4.68 to 9.01),6.37,4.68 to 9.01,4.68,9.01,(4.68 to 9.01)
Female.Stomach.IV.60-64.1.5.negative,rmst,37,2.09 (1.54 to 3.67),2.09,1.54 to 3.67,1.54,3.67,(1.54 to 3.67)
Male.Stomach.IV.60-64.1.5.negative,rmst,37,2.14 (1.57 to 3.69),2.14,1.57 to 3.69,1.57,3.69,(1.57 to 3.69)
Female.Stomach.I.65-69.1.5.negative,rmst,32,14.58 (10.78 to 16.62),14.58,10.78 to 16.62,10.78,16.62,(10.78 to 16.62)
Male.Stomach.I.65-69.1.5.negative,rmst,32,13.7 (10.38 to 15.07),13.7,10.38 to 15.07,10.38,15.07,(10.38 to 15.07)
Female.Stomach.II.65-69.1.5.negative,rmst,32,9.69 (7.06 to 11.7),9.69,7.06 to 11.7,7.06,11.7,(7.06 to 11.7)
Male.Stomach.II.65-69.1.5.negative,rmst,32,9.24 (7.25 to 10.8),9.24,7.25 to 10.8,7.25,10.8,(7.25 to 10.8)
Female.Stomach.III.65-69.1.5.negative,rmst,32,6.73 (5.09 to 8.83),6.73,5.09 to 8.83,5.09,8.83,(5.09 to 8.83)
Male.Stomach.III.65-69.1.5.negative,rmst,32,6.63 (4.89 to 8.33),6.63,4.89 to 8.33,4.89,8.33,(4.89 to 8.33)
Female.Stomach.IV.65-69.1.5.negative,rmst,32,1.97 (1.49 to 3.06),1.97,1.49 to 3.06,1.49,3.06,(1.49 to 3.06)
Male.Stomach.IV.65-69.1.5.negative,rmst,32,1.98 (1.52 to 3.19),1.98,1.52 to 3.19,1.52,3.19,(1.52 to 3.19)
Female.Stomach.I.70-74.1.5.negative,rmst,27,11.59 (9.59 to 12.56),11.59,9.59 to 12.56,9.59,12.56,(9.59 to 12.56)
Male.Stomach.I.70-74.1.5.negative,rmst,27,10.61 (9.3 to 11.34),10.61,9.3 to 11.34,9.3,11.34,(9.3 to 11.34)
Female.Stomach.II.70-74.1.5.negative,rmst,27,5.94 (4.74 to 7.68),5.94,4.74 to 7.68,4.74,7.68,(4.74 to 7.68)
Male.Stomach.II.70-74.1.5.negative,rmst,27,5.92 (4.61 to 7.57),5.92,4.61 to 7.57,4.61,7.57,(4.61 to 7.57)
Female.Stomach.III.70-74.1.5.negative,rmst,27,5.23 (4.04 to 6.98),5.23,4.04 to 6.98,4.04,6.98,(4.04 to 6.98)
Male.Stomach.III.70-74.1.5.negative,rmst,27,5.26 (4.06 to 6.52),5.26,4.06 to 6.52,4.06,6.52,(4.06 to 6.52)
Female.Stomach.IV.70-74.1.5.negative,rmst,27,2.49 (1.66 to 3.05),2.49,1.66 to 3.05,1.66,3.05,(1.66 to 3.05)
Male.Stomach.IV.70-74.1.5.negative,rmst,27,2.33 (1.7 to 2.84),2.33,1.7 to 2.84,1.7,2.84,(1.7 to 2.84)
Female.Stomach.I.75-79.1.5.negative,rmst,22,9.1 (7.75 to 9.9),9.1,7.75 to 9.9,7.75,9.9,(7.75 to 9.9)
Male.Stomach.I.75-79.1.5.negative,rmst,22,8.59 (7.71 to 9.13),8.59,7.71 to 9.13,7.71,9.13,(7.71 to 9.13)
Female.Stomach.II.75-79.1.5.negative,rmst,22,5.5 (4.53 to 6.55),5.5,4.53 to 6.55,4.53,6.55,(4.53 to 6.55)
Male.Stomach.II.75-79.1.5.negative,rmst,22,5.48 (4.56 to 6.11),5.48,4.56 to 6.11,4.56,6.11,(4.56 to 6.11)
Female.Stomach.III.75-79.1.5.negative,rmst,22,4.73 (3.6 to 5.55),4.73,3.6 to 5.55,3.6,5.55,(3.6 to 5.55)
Male.Stomach.III.75-79.1.5.negative,rmst,22,4.49 (3.57 to 5.18),4.49,3.57 to 5.18,3.57,5.18,(3.57 to 5.18)
Female.Stomach.IV.75-79.1.5.negative,rmst,22,1.64 (1.24 to 2.16),1.64,1.24 to 2.16,1.24,2.16,(1.24 to 2.16)
Male.Stomach.IV.75-79.1.5.negative,rmst,22,1.64 (1.25 to 2.08),1.64,1.25 to 2.08,1.25,2.08,(1.25 to 2.08)
Female.Stomach.I.50-54.3.negative,rmst,47,17.97 (8.47 to 27.55),17.97,8.47 to 27.55,8.47,27.55,(8.47 to 27.55)
Male.Stomach.I.50-54.3.negative,rmst,47,18.74 (8.43 to 26.57),18.74,8.43 to 26.57,8.43,26.57,(8.43 to 26.57)
Female.Stomach.II.50-54.3.negative,rmst,47,12.7 (7.85 to 21.07),12.7,7.85 to 21.07,7.85,21.07,(7.85 to 21.07)
Male.Stomach.II.50-54.3.negative,rmst,47,12.43 (7.51 to 20.1),12.43,7.51 to 20.1,7.51,20.1,(7.51 to 20.1)
Female.Stomach.III.50-54.3.negative,rmst,47,12.54 (7.81 to 19.86),12.54,7.81 to 19.86,7.81,19.86,(7.81 to 19.86)
Male.Stomach.III.50-54.3.negative,rmst,47,12.02 (7.57 to 18.98),12.02,7.57 to 18.98,7.57,18.98,(7.57 to 18.98)
Female.Stomach.IV.50-54.3.negative,rmst,47,4.43 (2.82 to 10.17),4.43,2.82 to 10.17,2.82,10.17,(2.82 to 10.17)
Male.Stomach.IV.50-54.3.negative,rmst,47,4.29 (2.83 to 8.86),4.29,2.83 to 8.86,2.83,8.86,(2.83 to 8.86)
Female.Stomach.I.55-59.3.negative,rmst,42,14.13 (9.11 to 22.14),14.13,9.11 to 22.14,9.11,22.14,(9.11 to 22.14)
Male.Stomach.I.55-59.3.negative,rmst,42,13.53 (8.86 to 19.41),13.53,8.86 to 19.41,8.86,19.41,(8.86 to 19.41)
Female.Stomach.II.55-59.3.negative,rmst,42,12.62 (8.12 to 18.65),12.62,8.12 to 18.65,8.12,18.65,(8.12 to 18.65)
Male.Stomach.II.55-59.3.negative,rmst,42,12.25 (7.81 to 17.32),12.25,7.81 to 17.32,7.81,17.32,(7.81 to 17.32)
Female.Stomach.III.55-59.3.negative,rmst,42,11.43 (7.25 to 17.54),11.43,7.25 to 17.54,7.25,17.54,(7.25 to 17.54)
Male.Stomach.III.55-59.3.negative,rmst,42,11.4 (7.03 to 16.87),11.4,7.03 to 16.87,7.03,16.87,(7.03 to 16.87)
Female.Stomach.IV.55-59.3.negative,rmst,42,7.1 (4.18 to 12.05),7.1,4.18 to 12.05,4.18,12.05,(4.18 to 12.05)
Male.Stomach.IV.55-59.3.negative,rmst,42,7.15 (4.39 to 10.9),7.15,4.39 to 10.9,4.39,10.9,(4.39 to 10.9)
Female.Stomach.I.60-64.3.negative,rmst,37,12.51 (8.08 to 17.11),12.51,8.08 to 17.11,8.08,17.11,(8.08 to 17.11)
Male.Stomach.I.60-64.3.negative,rmst,37,12.02 (8.1 to 16.28),12.02,8.1 to 16.28,8.1,16.28,(8.1 to 16.28)
Female.Stomach.II.60-64.3.negative,rmst,37,7.72 (5.39 to 11.57),7.72,5.39 to 11.57,5.39,11.57,(5.39 to 11.57)
Male.Stomach.II.60-64.3.negative,rmst,37,7.57 (5.08 to 10.87),7.57,5.08 to 10.87,5.08,10.87,(5.08 to 10.87)
Female.Stomach.III.60-64.3.negative,rmst,37,9.88 (6.57 to 14.11),9.88,6.57 to 14.11,6.57,14.11,(6.57 to 14.11)
Male.Stomach.III.60-64.3.negative,rmst,37,9.63 (6.73 to 13.12),9.63,6.73 to 13.12,6.73,13.12,(6.73 to 13.12)
Female.Stomach.IV.60-64.3.negative,rmst,37,5.69 (3.28 to 9.89),5.69,3.28 to 9.89,3.28,9.89,(3.28 to 9.89)
Male.Stomach.IV.60-64.3.negative,rmst,37,5.44 (3.18 to 8.98),5.44,3.18 to 8.98,3.18,8.98,(3.18 to 8.98)
Female.Stomach.I.65-69.3.negative,rmst,32,15.5 (11.7 to 17.11),15.5,11.7 to 17.11,11.7,17.11,(11.7 to 17.11)
Male.Stomach.I.65-69.3.negative,rmst,32,14.32 (11.29 to 15.53),14.32,11.29 to 15.53,11.29,15.53,(11.29 to 15.53)
Female.Stomach.II.65-69.3.negative,rmst,32,12.13 (9.35 to 13.83),12.13,9.35 to 13.83,9.35,13.83,(9.35 to 13.83)
Male.Stomach.II.65-69.3.negative,rmst,32,11.21 (9.01 to 12.62),11.21,9.01 to 12.62,9.01,12.62,(9.01 to 12.62)
Female.Stomach.III.65-69.3.negative,rmst,32,10.55 (7.78 to 13.11),10.55,7.78 to 13.11,7.78,13.11,(7.78 to 13.11)
Male.Stomach.III.65-69.3.negative,rmst,32,10.42 (7.77 to 11.74),10.42,7.77 to 11.74,7.77,11.74,(7.77 to 11.74)
Female.Stomach.IV.65-69.3.negative,rmst,32,4.82 (3.31 to 7.38),4.82,3.31 to 7.38,3.31,7.38,(3.31 to 7.38)
Male.Stomach.IV.65-69.3.negative,rmst,32,4.72 (3.12 to 7.16),4.72,3.12 to 7.16,3.12,7.16,(3.12 to 7.16)
Female.Stomach.I.70-74.3.negative,rmst,27,12.14 (10.23 to 13.01),12.14,10.23 to 13.01,10.23,13.01,(10.23 to 13.01)
Male.Stomach.I.70-74.3.negative,rmst,27,11.09 (9.7 to 11.86),11.09,9.7 to 11.86,9.7,11.86,(9.7 to 11.86)
Female.Stomach.II.70-74.3.negative,rmst,27,7.61 (6.17 to 9.65),7.61,6.17 to 9.65,6.17,9.65,(6.17 to 9.65)
Male.Stomach.II.70-74.3.negative,rmst,27,7.59 (6.06 to 9.56),7.59,6.06 to 9.56,6.06,9.56,(6.06 to 9.56)
Female.Stomach.III.70-74.3.negative,rmst,27,7.64 (5.89 to 9.59),7.64,5.89 to 9.59,5.89,9.59,(5.89 to 9.59)
Male.Stomach.III.70-74.3.negative,rmst,27,7.6 (5.99 to 8.99),7.6,5.99 to 8.99,5.99,8.99,(5.99 to 8.99)
Female.Stomach.IV.70-74.3.negative,rmst,27,5.42 (3.48 to 6.79),5.42,3.48 to 6.79,3.48,6.79,(3.48 to 6.79)
Male.Stomach.IV.70-74.3.negative,rmst,27,5.16 (3.52 to 6.24),5.16,3.52 to 6.24,3.52,6.24,(3.52 to 6.24)
Female.Stomach.I.75-79.3.negative,rmst,22,9.62 (8.52 to 10.35),9.62,8.52 to 10.35,8.52,10.35,(8.52 to 10.35)
Male.Stomach.I.75-79.3.negative,rmst,22,9.14 (8.35 to 9.59),9.14,8.35 to 9.59,8.35,9.59,(8.35 to 9.59)
Female.Stomach.II.75-79.3.negative,rmst,22,7.05 (5.53 to 8.06),7.05,5.53 to 8.06,5.53,8.06,(5.53 to 8.06)
Male.Stomach.II.75-79.3.negative,rmst,22,6.76 (5.62 to 7.41),6.76,5.62 to 7.41,5.62,7.41,(5.62 to 7.41)
Female.Stomach.III.75-79.3.negative,rmst,22,6.58 (5.21 to 7.79),6.58,5.21 to 7.79,5.21,7.79,(5.21 to 7.79)
Male.Stomach.III.75-79.3.negative,rmst,22,6.47 (5.2 to 7.25),6.47,5.2 to 7.25,5.2,7.25,(5.2 to 7.25)
Female.Stomach.IV.75-79.3.negative,rmst,22,4.48 (3.07 to 5.31),4.48,3.07 to 5.31,3.07,5.31,(3.07 to 5.31)
Male.Stomach.IV.75-79.3.negative,rmst,22,4.25 (3.12 to 4.99),4.25,3.12 to 4.99,3.12,4.99,(3.12 to 4.99)
Female.Stomach.I.50-54.1.positive,rmst,47,17.18 (8.34 to 26.34),17.18,8.34 to 26.34,8.34,26.34,(8.34 to 26.34)
Male.Stomach.I.50-54.1.positive,rmst,47,16.66 (7.94 to 24.41),16.66,7.94 to 24.41,7.94,24.41,(7.94 to 24.41)
Female.Stomach.II.50-54.1.positive,rmst,47,12.12 (6.18 to 18.62),12.12,6.18 to 18.62,6.18,18.62,(6.18 to 18.62)
Male.Stomach.II.50-54.1.positive,rmst,47,11.78 (6.11 to 17.21),11.78,6.11 to 17.21,6.11,17.21,(6.11 to 17.21)
Female.Stomach.III.50-54.1.positive,rmst,47,6.24 (4.01 to 11.49),6.24,4.01 to 11.49,4.01,11.49,(4.01 to 11.49)
Male.Stomach.III.50-54.1.positive,rmst,47,6.21 (3.95 to 11.16),6.21,3.95 to 11.16,3.95,11.16,(3.95 to 11.16)
Female.Stomach.IV.50-54.1.positive,rmst,47,1.17 (0.96 to 1.82),1.17,0.96 to 1.82,0.96,1.82,(0.96 to 1.82)
Male.Stomach.IV.50-54.1.positive,rmst,47,1.17 (0.95 to 1.81),1.17,0.95 to 1.81,0.95,1.81,(0.95 to 1.81)
Female.Stomach.I.55-59.1.positive,rmst,42,12.1 (7.75 to 18.73),12.1,7.75 to 18.73,7.75,18.73,(7.75 to 18.73)
Male.Stomach.I.55-59.1.positive,rmst,42,11.91 (7.91 to 17.62),11.91,7.91 to 17.62,7.91,17.62,(7.91 to 17.62)
Female.Stomach.II.55-59.1.positive,rmst,42,8.37 (5.38 to 13.2),8.37,5.38 to 13.2,5.38,13.2,(5.38 to 13.2)
Male.Stomach.II.55-59.1.positive,rmst,42,8.13 (5.12 to 12.37),8.13,5.12 to 12.37,5.12,12.37,(5.12 to 12.37)
Female.Stomach.III.55-59.1.positive,rmst,42,5.5 (3.69 to 9.64),5.5,3.69 to 9.64,3.69,9.64,(3.69 to 9.64)
Male.Stomach.III.55-59.1.positive,rmst,42,5.33 (3.61 to 8.99),5.33,3.61 to 8.99,3.61,8.99,(3.61 to 8.99)
Female.Stomach.IV.55-59.1.positive,rmst,42,1.82 (1.18 to 2.87),1.82,1.18 to 2.87,1.18,2.87,(1.18 to 2.87)
Male.Stomach.IV.55-59.1.positive,rmst,42,1.85 (1.22 to 2.8),1.85,1.22 to 2.8,1.22,2.8,(1.22 to 2.8)
Female.Stomach.I.60-64.1.positive,rmst,37,10.41 (6.87 to 14.39),10.41,6.87 to 14.39,6.87,14.39,(6.87 to 14.39)
Male.Stomach.I.60-64.1.positive,rmst,37,10.14 (6.81 to 14.29),10.14,6.81 to 14.29,6.81,14.29,(6.81 to 14.29)
Female.Stomach.II.60-64.1.positive,rmst,37,4.65 (3.53 to 6.94),4.65,3.53 to 6.94,3.53,6.94,(3.53 to 6.94)
Male.Stomach.II.60-64.1.positive,rmst,37,4.66 (3.65 to 6.64),4.66,3.65 to 6.64,3.65,6.64,(3.65 to 6.64)
Female.Stomach.III.60-64.1.positive,rmst,37,4.79 (3.43 to 7.32),4.79,3.43 to 7.32,3.43,7.32,(3.43 to 7.32)
Male.Stomach.III.60-64.1.positive,rmst,37,4.77 (3.41 to 7.1),4.77,3.41 to 7.1,3.41,7.1,(3.41 to 7.1)
Female.Stomach.IV.60-64.1.positive,rmst,37,1.18 (0.94 to 1.8),1.18,0.94 to 1.8,0.94,1.8,(0.94 to 1.8)
Male.Stomach.IV.60-64.1.positive,rmst,37,1.2 (0.94 to 1.88),1.2,0.94 to 1.88,0.94,1.88,(0.94 to 1.88)
Female.Stomach.I.65-69.1.positive,rmst,32,14.46 (10.76 to 16.44),14.46,10.76 to 16.44,10.76,16.44,(10.76 to 16.44)
Male.Stomach.I.65-69.1.positive,rmst,32,13.68 (10.48 to 14.86),13.68,10.48 to 14.86,10.48,14.86,(10.48 to 14.86)
Female.Stomach.II.65-69.1.positive,rmst,32,8.58 (6.48 to 10.26),8.58,6.48 to 10.26,6.48,10.26,(6.48 to 10.26)
Male.Stomach.II.65-69.1.positive,rmst,32,8.07 (6.19 to 9.51),8.07,6.19 to 9.51,6.19,9.51,(6.19 to 9.51)
Female.Stomach.III.65-69.1.positive,rmst,32,4.76 (3.63 to 6.36),4.76,3.63 to 6.36,3.63,6.36,(3.63 to 6.36)
Male.Stomach.III.65-69.1.positive,rmst,32,4.71 (3.63 to 6.09),4.71,3.63 to 6.09,3.63,6.09,(3.63 to 6.09)
Female.Stomach.IV.65-69.1.positive,rmst,32,1.13 (0.92 to 1.57),1.13,0.92 to 1.57,0.92,1.57,(0.92 to 1.57)
Male.Stomach.IV.65-69.1.positive,rmst,32,1.15 (0.93 to 1.54),1.15,0.93 to 1.54,0.93,1.54,(0.93 to 1.54)
Female.Stomach.I.70-74.1.positive,rmst,27,11.12 (8.79 to 12.34),11.12,8.79 to 12.34,8.79,12.34,(8.79 to 12.34)
Male.Stomach.I.70-74.1.positive,rmst,27,10.27 (8.31 to 11.16),10.27,8.31 to 11.16,8.31,11.16,(8.31 to 11.16)
Female.Stomach.II.70-74.1.positive,rmst,27,5.1 (3.91 to 7.35),5.1,3.91 to 7.35,3.91,7.35,(3.91 to 7.35)
Male.Stomach.II.70-74.1.positive,rmst,27,5.05 (3.99 to 6.69),5.05,3.99 to 6.69,3.99,6.69,(3.99 to 6.69)
Female.Stomach.III.70-74.1.positive,rmst,27,3.67 (2.95 to 4.77),3.67,2.95 to 4.77,2.95,4.77,(2.95 to 4.77)
Male.Stomach.III.70-74.1.positive,rmst,27,3.67 (2.92 to 4.67),3.67,2.92 to 4.67,2.92,4.67,(2.92 to 4.67)
Female.Stomach.IV.70-74.1.positive,rmst,27,1.19 (0.94 to 1.44),1.19,0.94 to 1.44,0.94,1.44,(0.94 to 1.44)
Male.Stomach.IV.70-74.1.positive,rmst,27,1.16 (0.93 to 1.39),1.16,0.93 to 1.39,0.93,1.39,(0.93 to 1.39)
Female.Stomach.I.75-79.1.positive,rmst,22,8.8 (7.53 to 9.73),8.8,7.53 to 9.73,7.53,9.73,(7.53 to 9.73)
Male.Stomach.I.75-79.1.positive,rmst,22,8.32 (7.39 to 8.98),8.32,7.39 to 8.98,7.39,8.98,(7.39 to 8.98)
