characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Anus.IV.60-64.1.negative,rmst,37,2.72 (1.92 to 5.31),2.72,1.92 to 5.31,1.92,5.31,(1.92 to 5.31)
Male.Anus.IV.60-64.1.negative,rmst,37,2.74 (1.88 to 4.91),2.74,1.88 to 4.91,1.88,4.91,(1.88 to 4.91)
Female.Anus.I.65-69.1.negative,rmst,32,18.57 (14.4 to 18.57),18.57,14.4 to 18.57,14.4,18.57,(14.4 to 18.57)
Male.Anus.I.65-69.1.negative,rmst,32,16.43 (15.73 to 16.43),16.43,15.73 to 16.43,15.73,16.43,(15.73 to 16.43)
Female.Anus.II.65-69.1.negative,rmst,32,15.9 (12.93 to 17.4),15.9,12.93 to 17.4,12.93,17.4,(12.93 to 17.4)
Male.Anus.II.65-69.1.negative,rmst,32,14.81 (12.36 to 15.89),14.81,12.36 to 15.89,12.36,15.89,(12.36 to 15.89)
Female.Anus.III.65-69.1.negative,rmst,32,12.85 (9.77 to 15.36),12.85,9.77 to 15.36,9.77,15.36,(9.77 to 15.36)
Male.Anus.III.65-69.1.negative,rmst,32,12.57 (9.78 to 14.16),12.57,9.78 to 14.16,9.78,14.16,(9.78 to 14.16)
Female.Anus.IV.65-69.1.negative,rmst,32,4.31 (2.53 to 7.92),4.31,2.53 to 7.92,2.53,7.92,(2.53 to 7.92)
Male.Anus.IV.65-69.1.negative,rmst,32,4.09 (2.45 to 7.41),4.09,2.45 to 7.41,2.45,7.41,(2.45 to 7.41)
Female.Anus.I.70-74.1.negative,rmst,27,14.6 (13.38 to 14.6),14.6,13.38 to 14.6,13.38,14.6,(13.38 to 14.6)
Male.Anus.I.70-74.1.negative,rmst,27,12.8 (12.13 to 12.8),12.8,12.13 to 12.8,12.13,12.8,(12.13 to 12.8)
Female.Anus.II.70-74.1.negative,rmst,27,11.85 (7.68 to 14.46),11.85,7.68 to 14.46,7.68,14.46,(7.68 to 14.46)
Male.Anus.II.70-74.1.negative,rmst,27,12.37 (9.56 to 12.8),12.37,9.56 to 12.8,9.56,12.8,(9.56 to 12.8)
Female.Anus.III.70-74.1.negative,rmst,27,7.13 (5.13 to 10.38),7.13,5.13 to 10.38,5.13,10.38,(5.13 to 10.38)
Male.Anus.III.70-74.1.negative,rmst,27,7.2 (5.03 to 10.09),7.2,5.03 to 10.09,5.03,10.09,(5.03 to 10.09)
Female.Anus.IV.70-74.1.negative,rmst,27,2.16 (1.39 to 4.14),2.16,1.39 to 4.14,1.39,4.14,(1.39 to 4.14)
Male.Anus.IV.70-74.1.negative,rmst,27,2.14 (1.38 to 4.27),2.14,1.38 to 4.27,1.38,4.27,(1.38 to 4.27)
Female.Anus.I.75-79.1.negative,rmst,22,11 (10.43 to 11),11,10.43 to 11,10.43,11,(10.43 to 11)
Male.Anus.I.75-79.1.negative,rmst,22,9.59 (9.38 to 9.59),9.59,9.38 to 9.59,9.38,9.59,(9.38 to 9.59)
Female.Anus.II.75-79.1.negative,rmst,22,10.99 (9.11 to 11),10.99,9.11 to 11,9.11,11,(9.11 to 11)
Male.Anus.II.75-79.1.negative,rmst,22,9.59 (8.91 to 9.59),9.59,8.91 to 9.59,8.91,9.59,(8.91 to 9.59)
Female.Anus.III.75-79.1.negative,rmst,22,7.39 (5.74 to 9.17),7.39,5.74 to 9.17,5.74,9.17,(5.74 to 9.17)
Male.Anus.III.75-79.1.negative,rmst,22,7.28 (5.67 to 8.59),7.28,5.67 to 8.59,5.67,8.59,(5.67 to 8.59)
Female.Anus.IV.75-79.1.negative,rmst,22,1.79 (1.27 to 2.97),1.79,1.27 to 2.97,1.27,2.97,(1.27 to 2.97)
Male.Anus.IV.75-79.1.negative,rmst,22,1.78 (1.3 to 2.98),1.78,1.3 to 2.98,1.3,2.98,(1.3 to 2.98)
Female.Anus.I.50-54.1.5.negative,rmst,47,31.64 (28.42 to 31.64),31.64,28.42 to 31.64,28.42,31.64,(28.42 to 31.64)
Male.Anus.I.50-54.1.5.negative,rmst,47,28.8 (25.33 to 28.8),28.8,25.33 to 28.8,25.33,28.8,(25.33 to 28.8)
Female.Anus.II.50-54.1.5.negative,rmst,47,27.22 (18.26 to 30.97),27.22,18.26 to 30.97,18.26,30.97,(18.26 to 30.97)
Male.Anus.II.50-54.1.5.negative,rmst,47,26.81 (18.68 to 28.8),26.81,18.68 to 28.8,18.68,28.8,(18.68 to 28.8)
Female.Anus.III.50-54.1.5.negative,rmst,47,22.07 (15.18 to 28.44),22.07,15.18 to 28.44,15.18,28.44,(15.18 to 28.44)
Male.Anus.III.50-54.1.5.negative,rmst,47,21.64 (15.11 to 26.49),21.64,15.11 to 26.49,15.11,26.49,(15.11 to 26.49)
Female.Anus.IV.50-54.1.5.negative,rmst,47,4.71 (2.86 to 8.97),4.71,2.86 to 8.97,2.86,8.97,(2.86 to 8.97)
Male.Anus.IV.50-54.1.5.negative,rmst,47,4.51 (2.9 to 9.03),4.51,2.9 to 9.03,2.9,9.03,(2.9 to 9.03)
Female.Anus.I.55-59.1.5.negative,rmst,42,27.11 (17.08 to 27.11),27.11,17.08 to 27.11,17.08,27.11,(17.08 to 27.11)
Male.Anus.I.55-59.1.5.negative,rmst,42,24.46 (20.8 to 24.46),24.46,20.8 to 24.46,20.8,24.46,(20.8 to 24.46)
Female.Anus.II.55-59.1.5.negative,rmst,42,24.54 (19.4 to 26.3),24.54,19.4 to 26.3,19.4,26.3,(19.4 to 26.3)
Male.Anus.II.55-59.1.5.negative,rmst,42,22.55 (18.12 to 23.79),22.55,18.12 to 23.79,18.12,23.79,(18.12 to 23.79)
Female.Anus.III.55-59.1.5.negative,rmst,42,18.95 (13.14 to 23.52),18.95,13.14 to 23.52,13.14,23.52,(13.14 to 23.52)
Male.Anus.III.55-59.1.5.negative,rmst,42,18.27 (12.65 to 22.02),18.27,12.65 to 22.02,12.65,22.02,(12.65 to 22.02)
Female.Anus.IV.55-59.1.5.negative,rmst,42,3.83 (2.23 to 9.44),3.83,2.23 to 9.44,2.23,9.44,(2.23 to 9.44)
Male.Anus.IV.55-59.1.5.negative,rmst,42,3.98 (2.2 to 8.32),3.98,2.2 to 8.32,2.2,8.32,(2.2 to 8.32)
Female.Anus.I.60-64.1.5.negative,rmst,37,22.74 (22.02 to 22.74),22.74,22.02 to 22.74,22.02,22.74,(22.02 to 22.74)
Male.Anus.I.60-64.1.5.negative,rmst,37,20.32 (19.9 to 20.32),20.32,19.9 to 20.32,19.9,20.32,(19.9 to 20.32)
Female.Anus.II.60-64.1.5.negative,rmst,37,22.41 (18.63 to 22.74),22.41,18.63 to 22.74,18.63,22.74,(18.63 to 22.74)
Male.Anus.II.60-64.1.5.negative,rmst,37,20.31 (17.87 to 20.32),20.31,17.87 to 20.32,17.87,20.32,(17.87 to 20.32)
Female.Anus.III.60-64.1.5.negative,rmst,37,17.97 (12.9 to 20.19),17.97,12.9 to 20.19,12.9,20.19,(12.9 to 20.19)
Male.Anus.III.60-64.1.5.negative,rmst,37,16.79 (12.78 to 18.46),16.79,12.78 to 18.46,12.78,18.46,(12.78 to 18.46)
Female.Anus.IV.60-64.1.5.negative,rmst,37,4.34 (2.68 to 10.03),4.34,2.68 to 10.03,2.68,10.03,(2.68 to 10.03)
Male.Anus.IV.60-64.1.5.negative,rmst,37,4.18 (2.68 to 8.94),4.18,2.68 to 8.94,2.68,8.94,(2.68 to 8.94)
Female.Anus.I.65-69.1.5.negative,rmst,32,18.57 (18.18 to 18.57),18.57,18.18 to 18.57,18.18,18.57,(18.18 to 18.57)
Male.Anus.I.65-69.1.5.negative,rmst,32,16.43 (16.19 to 16.43),16.43,16.19 to 16.43,16.19,16.43,(16.19 to 16.43)
Female.Anus.II.65-69.1.5.negative,rmst,32,16.79 (13.69 to 18.18),16.79,13.69 to 18.18,13.69,18.18,(13.69 to 18.18)
Male.Anus.II.65-69.1.5.negative,rmst,32,16.07 (13.93 to 16.43),16.07,13.93 to 16.43,13.93,16.43,(13.93 to 16.43)
Female.Anus.III.65-69.1.5.negative,rmst,32,15.31 (11.84 to 16.93),15.31,11.84 to 16.93,11.84,16.93,(11.84 to 16.93)
Male.Anus.III.65-69.1.5.negative,rmst,32,14.32 (11.65 to 15.34),14.32,11.65 to 15.34,11.65,15.34,(11.65 to 15.34)
Female.Anus.IV.65-69.1.5.negative,rmst,32,5.74 (3.26 to 10.15),5.74,3.26 to 10.15,3.26,10.15,(3.26 to 10.15)
Male.Anus.IV.65-69.1.5.negative,rmst,32,5.67 (3.39 to 9.62),5.67,3.39 to 9.62,3.39,9.62,(3.39 to 9.62)
Female.Anus.I.70-74.1.5.negative,rmst,27,14.6 (13.76 to 14.6),14.6,13.76 to 14.6,13.76,14.6,(13.76 to 14.6)
Male.Anus.I.70-74.1.5.negative,rmst,27,12.8 (12.37 to 12.8),12.8,12.37 to 12.8,12.37,12.8,(12.37 to 12.8)
Female.Anus.II.70-74.1.5.negative,rmst,27,14.44 (11.36 to 14.6),14.44,11.36 to 14.6,11.36,14.6,(11.36 to 14.6)
Male.Anus.II.70-74.1.5.negative,rmst,27,12.8 (11.77 to 12.8),12.8,11.77 to 12.8,11.77,12.8,(11.77 to 12.8)
Female.Anus.III.70-74.1.5.negative,rmst,27,10.89 (7.77 to 13.14),10.89,7.77 to 13.14,7.77,13.14,(7.77 to 13.14)
Male.Anus.III.70-74.1.5.negative,rmst,27,10.75 (7.84 to 12.18),10.75,7.84 to 12.18,7.84,12.18,(7.84 to 12.18)
Female.Anus.IV.70-74.1.5.negative,rmst,27,3.92 (2.12 to 7.6),3.92,2.12 to 7.6,2.12,7.6,(2.12 to 7.6)
Male.Anus.IV.70-74.1.5.negative,rmst,27,3.71 (2.14 to 7.06),3.71,2.14 to 7.06,2.14,7.06,(2.14 to 7.06)
Female.Anus.I.75-79.1.5.negative,rmst,22,11 (10.63 to 11),11,10.63 to 11,10.63,11,(10.63 to 11)
Male.Anus.I.75-79.1.5.negative,rmst,22,9.59 (9.4 to 9.59),9.59,9.4 to 9.59,9.4,9.59,(9.4 to 9.59)
Female.Anus.II.75-79.1.5.negative,rmst,22,11 (10.14 to 11),11,10.14 to 11,10.14,11,(10.14 to 11)
Male.Anus.II.75-79.1.5.negative,rmst,22,9.59 (9.34 to 9.59),9.59,9.34 to 9.59,9.34,9.59,(9.34 to 9.59)
Female.Anus.III.75-79.1.5.negative,rmst,22,9.37 (7.43 to 10.71),9.37,7.43 to 10.71,7.43,10.71,(7.43 to 10.71)
Male.Anus.III.75-79.1.5.negative,rmst,22,9.59 (7.75 to 9.59),9.59,7.75 to 9.59,7.75,9.59,(7.75 to 9.59)
Female.Anus.IV.75-79.1.5.negative,rmst,22,2.64 (1.8 to 4.71),2.64,1.8 to 4.71,1.8,4.71,(1.8 to 4.71)
Male.Anus.IV.75-79.1.5.negative,rmst,22,2.69 (1.77 to 5.03),2.69,1.77 to 5.03,1.77,5.03,(1.77 to 5.03)
Female.Anus.II.50-54.3.negative,rmst,47,31.48 (23.84 to 31.64),31.48,23.84 to 31.64,23.84,31.64,(23.84 to 31.64)
Male.Anus.II.50-54.3.negative,rmst,47,28.8 (25.17 to 28.8),28.8,25.17 to 28.8,25.17,28.8,(25.17 to 28.8)
Female.Anus.III.50-54.3.negative,rmst,47,27.63 (20.98 to 30.83),27.63,20.98 to 30.83,20.98,30.83,(20.98 to 30.83)
Male.Anus.III.50-54.3.negative,rmst,47,26.58 (20.43 to 28.79),26.58,20.43 to 28.79,20.43,28.79,(20.43 to 28.79)
Female.Anus.IV.50-54.3.negative,rmst,47,9.25 (4.69 to 18.59),9.25,4.69 to 18.59,4.69,18.59,(4.69 to 18.59)
Male.Anus.IV.50-54.3.negative,rmst,47,9.24 (4.63 to 18.53),9.24,4.63 to 18.53,4.63,18.53,(4.63 to 18.53)
Female.Anus.I.55-59.3.negative,rmst,42,27.11 (24.34 to 27.11),27.11,24.34 to 27.11,24.34,27.11,(24.34 to 27.11)
Male.Anus.I.55-59.3.negative,rmst,42,24.46 (20.06 to 24.46),24.46,20.06 to 24.46,20.06,24.46,(20.06 to 24.46)
Female.Anus.II.55-59.3.negative,rmst,42,26.38 (21.81 to 27.11),26.38,21.81 to 27.11,21.81,27.11,(21.81 to 27.11)
Male.Anus.II.55-59.3.negative,rmst,42,24.46 (22.29 to 24.46),24.46,22.29 to 24.46,22.29,24.46,(22.29 to 24.46)
Female.Anus.III.55-59.3.negative,rmst,42,24.17 (18.59 to 26.21),24.17,18.59 to 26.21,18.59,26.21,(18.59 to 26.21)
Male.Anus.III.55-59.3.negative,rmst,42,22.57 (17.6 to 24.09),22.57,17.6 to 24.09,17.6,24.09,(17.6 to 24.09)
Female.Anus.IV.55-59.3.negative,rmst,42,7.36 (3.91 to 15.67),7.36,3.91 to 15.67,3.91,15.67,(3.91 to 15.67)
Male.Anus.IV.55-59.3.negative,rmst,42,7.6 (3.76 to 15.79),7.6,3.76 to 15.79,3.76,15.79,(3.76 to 15.79)
Female.Anus.I.60-64.3.negative,rmst,37,22.74 (21.93 to 22.74),22.74,21.93 to 22.74,21.93,22.74,(21.93 to 22.74)
Male.Anus.I.60-64.3.negative,rmst,37,20.32 (19.96 to 20.32),20.32,19.96 to 20.32,19.96,20.32,(19.96 to 20.32)
Female.Anus.II.60-64.3.negative,rmst,37,22.74 (22.06 to 22.74),22.74,22.06 to 22.74,22.06,22.74,(22.06 to 22.74)
Male.Anus.II.60-64.3.negative,rmst,37,20.32 (19.82 to 20.32),20.32,19.82 to 20.32,19.82,20.32,(19.82 to 20.32)
Female.Anus.III.60-64.3.negative,rmst,37,21.02 (16.63 to 22.27),21.02,16.63 to 22.27,16.63,22.27,(16.63 to 22.27)
Male.Anus.III.60-64.3.negative,rmst,37,19.5 (16.41 to 20.32),19.5,16.41 to 20.32,16.41,20.32,(16.41 to 20.32)
Female.Anus.IV.60-64.3.negative,rmst,37,8.19 (4.45 to 14.36),8.19,4.45 to 14.36,4.45,14.36,(4.45 to 14.36)
Male.Anus.IV.60-64.3.negative,rmst,37,8.27 (4.69 to 14.47),8.27,4.69 to 14.47,4.69,14.47,(4.69 to 14.47)
Female.Anus.I.65-69.3.negative,rmst,32,18.57 (17.39 to 18.57),18.57,17.39 to 18.57,17.39,18.57,(17.39 to 18.57)
Male.Anus.I.65-69.3.negative,rmst,32,16.43 (15.91 to 16.43),16.43,15.91 to 16.43,15.91,16.43,(15.91 to 16.43)
Female.Anus.II.65-69.3.negative,rmst,32,18.57 (17.43 to 18.57),18.57,17.43 to 18.57,17.43,18.57,(17.43 to 18.57)
Male.Anus.II.65-69.3.negative,rmst,32,16.43 (16.03 to 16.43),16.43,16.03 to 16.43,16.03,16.43,(16.03 to 16.43)
Female.Anus.III.65-69.3.negative,rmst,32,17.65 (15.1 to 18.57),17.65,15.1 to 18.57,15.1,18.57,(15.1 to 18.57)
Male.Anus.III.65-69.3.negative,rmst,32,16.43 (15.22 to 16.43),16.43,15.22 to 16.43,15.22,16.43,(15.22 to 16.43)
Female.Anus.IV.65-69.3.negative,rmst,32,11.78 (6.47 to 15.73),11.78,6.47 to 15.73,6.47,15.73,(6.47 to 15.73)
Male.Anus.IV.65-69.3.negative,rmst,32,11.23 (6.75 to 14.58),11.23,6.75 to 14.58,6.75,14.58,(6.75 to 14.58)
Female.Anus.I.70-74.3.negative,rmst,27,14.6 (14.18 to 14.6),14.6,14.18 to 14.6,14.18,14.6,(14.18 to 14.6)
Male.Anus.I.70-74.3.negative,rmst,27,12.8 (12.46 to 12.8),12.8,12.46 to 12.8,12.46,12.8,(12.46 to 12.8)
Female.Anus.II.70-74.3.negative,rmst,27,14.6 (13.88 to 14.6),14.6,13.88 to 14.6,13.88,14.6,(13.88 to 14.6)
Male.Anus.II.70-74.3.negative,rmst,27,12.8 (12.51 to 12.8),12.8,12.51 to 12.8,12.51,12.8,(12.51 to 12.8)
Female.Anus.III.70-74.3.negative,rmst,27,14.6 (12.73 to 14.6),14.6,12.73 to 14.6,12.73,14.6,(12.73 to 14.6)
Male.Anus.III.70-74.3.negative,rmst,27,12.8 (11.92 to 12.8),12.8,11.92 to 12.8,11.92,12.8,(11.92 to 12.8)
Female.Anus.IV.70-74.3.negative,rmst,27,6.69 (3.62 to 11.18),6.69,3.62 to 11.18,3.62,11.18,(3.62 to 11.18)
Male.Anus.IV.70-74.3.negative,rmst,27,6.75 (3.52 to 10.43),6.75,3.52 to 10.43,3.52,10.43,(3.52 to 10.43)
Female.Anus.I.75-79.3.negative,rmst,22,11 (10.7 to 11),11,10.7 to 11,10.7,11,(10.7 to 11)
Male.Anus.I.75-79.3.negative,rmst,22,9.59 (9.33 to 9.59),9.59,9.33 to 9.59,9.33,9.59,(9.33 to 9.59)
Female.Anus.II.75-79.3.negative,rmst,22,11 (10.76 to 11),11,10.76 to 11,10.76,11,(10.76 to 11)
Male.Anus.II.75-79.3.negative,rmst,22,9.59 (9.46 to 9.59),9.59,9.46 to 9.59,9.46,9.59,(9.46 to 9.59)
Female.Anus.III.75-79.3.negative,rmst,22,11 (10.46 to 11),11,10.46 to 11,10.46,11,(10.46 to 11)
Male.Anus.III.75-79.3.negative,rmst,22,9.59 (9.39 to 9.59),9.59,9.39 to 9.59,9.39,9.59,(9.39 to 9.59)
Female.Anus.IV.75-79.3.negative,rmst,22,5.14 (2.99 to 9.17),5.14,2.99 to 9.17,2.99,9.17,(2.99 to 9.17)
Male.Anus.IV.75-79.3.negative,rmst,22,5.04 (2.8 to 8.56),5.04,2.8 to 8.56,2.8,8.56,(2.8 to 8.56)
Female.Anus.I.50-54.1.positive,rmst,47,31.63 (24.79 to 31.64),31.63,24.79 to 31.64,24.79,31.64,(24.79 to 31.64)
Male.Anus.I.50-54.1.positive,rmst,47,28.8 (19.89 to 28.8),28.8,19.89 to 28.8,19.89,28.8,(19.89 to 28.8)
Female.Anus.II.50-54.1.positive,rmst,47,21.13 (12.09 to 29.43),21.13,12.09 to 29.43,12.09,29.43,(12.09 to 29.43)
Male.Anus.II.50-54.1.positive,rmst,47,20.47 (11.56 to 26.76),20.47,11.56 to 26.76,11.56,26.76,(11.56 to 26.76)
Female.Anus.III.50-54.1.positive,rmst,47,17.16 (10.3 to 25.04),17.16,10.3 to 25.04,10.3,25.04,(10.3 to 25.04)
Male.Anus.III.50-54.1.positive,rmst,47,17.42 (10.56 to 24.45),17.42,10.56 to 24.45,10.56,24.45,(10.56 to 24.45)
Female.Anus.IV.50-54.1.positive,rmst,47,3.23 (2.16 to 5.89),3.23,2.16 to 5.89,2.16,5.89,(2.16 to 5.89)
Male.Anus.IV.50-54.1.positive,rmst,47,3.16 (2.21 to 5.91),3.16,2.21 to 5.91,2.21,5.91,(2.21 to 5.91)
Female.Anus.I.55-59.1.positive,rmst,42,27.11 (20.3 to 27.11),27.11,20.3 to 27.11,20.3,27.11,(20.3 to 27.11)
Male.Anus.I.55-59.1.positive,rmst,42,24.46 (22.27 to 24.46),24.46,22.27 to 24.46,22.27,24.46,(22.27 to 24.46)
Female.Anus.II.55-59.1.positive,rmst,42,22.92 (17.12 to 25.26),22.92,17.12 to 25.26,17.12,25.26,(17.12 to 25.26)
Male.Anus.II.55-59.1.positive,rmst,42,21.33 (16.99 to 23.16),21.33,16.99 to 23.16,16.99,23.16,(16.99 to 23.16)
Female.Anus.III.55-59.1.positive,rmst,42,15.43 (10.15 to 20.6),15.43,10.15 to 20.6,10.15,20.6,(10.15 to 20.6)
Male.Anus.III.55-59.1.positive,rmst,42,14.72 (9.95 to 19.79),14.72,9.95 to 19.79,9.95,19.79,(9.95 to 19.79)
Female.Anus.IV.55-59.1.positive,rmst,42,2.3 (1.51 to 4.45),2.3,1.51 to 4.45,1.51,4.45,(1.51 to 4.45)
Male.Anus.IV.55-59.1.positive,rmst,42,2.3 (1.5 to 4.96),2.3,1.5 to 4.96,1.5,4.96,(1.5 to 4.96)
Female.Anus.I.60-64.1.positive,rmst,37,22.74 (21.41 to 22.74),22.74,21.41 to 22.74,21.41,22.74,(21.41 to 22.74)
Male.Anus.I.60-64.1.positive,rmst,37,20.32 (19.78 to 20.32),20.32,19.78 to 20.32,19.78,20.32,(19.78 to 20.32)
Female.Anus.II.60-64.1.positive,rmst,37,19.97 (15.37 to 22.32),19.97,15.37 to 22.32,15.37,22.32,(15.37 to 22.32)
Male.Anus.II.60-64.1.positive,rmst,37,20.05 (15.7 to 20.32),20.05,15.7 to 20.32,15.7,20.32,(15.7 to 20.32)
Female.Anus.III.60-64.1.positive,rmst,37,15.83 (11.06 to 18.36),15.83,11.06 to 18.36,11.06,18.36,(11.06 to 18.36)
Male.Anus.III.60-64.1.positive,rmst,37,14.99 (11.01 to 16.85),14.99,11.01 to 16.85,11.01,16.85,(11.01 to 16.85)
Female.Anus.IV.60-64.1.positive,rmst,37,2.74 (1.91 to 5.23),2.74,1.91 to 5.23,1.91,5.23,(1.91 to 5.23)
Male.Anus.IV.60-64.1.positive,rmst,37,2.69 (1.9 to 5.44),2.69,1.9 to 5.44,1.9,5.44,(1.9 to 5.44)
Female.Anus.I.65-69.1.positive,rmst,32,18.57 (17.49 to 18.57),18.57,17.49 to 18.57,17.49,18.57,(17.49 to 18.57)
Male.Anus.I.65-69.1.positive,rmst,32,16.43 (15.41 to 16.43),16.43,15.41 to 16.43,15.41,16.43,(15.41 to 16.43)
Female.Anus.II.65-69.1.positive,rmst,32,15.98 (12.55 to 17.53),15.98,12.55 to 17.53,12.55,17.53,(12.55 to 17.53)
Male.Anus.II.65-69.1.positive,rmst,32,14.87 (12.24 to 15.97),14.87,12.24 to 15.97,12.24,15.97,(12.24 to 15.97)
Female.Anus.III.65-69.1.positive,rmst,32,12.93 (9.94 to 15.29),12.93,9.94 to 15.29,9.94,15.29,(9.94 to 15.29)
Male.Anus.III.65-69.1.positive,rmst,32,12.44 (9.52 to 14.07),12.44,9.52 to 14.07,9.52,14.07,(9.52 to 14.07)
Female.Anus.IV.65-69.1.positive,rmst,32,4.31 (2.44 to 7.94),4.31,2.44 to 7.94,2.44,7.94,(2.44 to 7.94)
Male.Anus.IV.65-69.1.positive,rmst,32,4.19 (2.48 to 7.93),4.19,2.48 to 7.93,2.48,7.93,(2.48 to 7.93)
Female.Anus.I.70-74.1.positive,rmst,27,14.6 (14 to 14.6),14.6,14 to 14.6,14,14.6,(14 to 14.6)
Male.Anus.I.70-74.1.positive,rmst,27,12.8 (12.38 to 12.8),12.8,12.38 to 12.8,12.38,12.8,(12.38 to 12.8)
Female.Anus.II.70-74.1.positive,rmst,27,12.11 (7.72 to 14.6),12.11,7.72 to 14.6,7.72,14.6,(7.72 to 14.6)
Male.Anus.II.70-74.1.positive,rmst,27,12.76 (9.5 to 12.8),12.76,9.5 to 12.8,9.5,12.8,(9.5 to 12.8)
Female.Anus.III.70-74.1.positive,rmst,27,7.15 (5.16 to 10.4),7.15,5.16 to 10.4,5.16,10.4,(5.16 to 10.4)
Male.Anus.III.70-74.1.positive,rmst,27,7.05 (5.15 to 10.4),7.05,5.15 to 10.4,5.15,10.4,(5.15 to 10.4)
Female.Anus.IV.70-74.1.positive,rmst,27,2.16 (1.37 to 4.31),2.16,1.37 to 4.31,1.37,4.31,(1.37 to 4.31)
Male.Anus.IV.70-74.1.positive,rmst,27,2.18 (1.41 to 3.92),2.18,1.41 to 3.92,1.41,3.92,(1.41 to 3.92)
Female.Anus.I.75-79.1.positive,rmst,22,11 (10.67 to 11),11,10.67 to 11,10.67,11,(10.67 to 11)
Male.Anus.I.75-79.1.positive,rmst,22,9.59 (9.38 to 9.59),9.59,9.38 to 9.59,9.38,9.59,(9.38 to 9.59)
Female.Anus.II.75-79.1.positive,rmst,22,11 (9.16 to 11),11,9.16 to 11,9.16,11,(9.16 to 11)
Male.Anus.II.75-79.1.positive,rmst,22,9.59 (8.89 to 9.59),9.59,8.89 to 9.59,8.89,9.59,(8.89 to 9.59)
Female.Anus.III.75-79.1.positive,rmst,22,7.4 (5.74 to 9.09),7.4,5.74 to 9.09,5.74,9.09,(5.74 to 9.09)
Male.Anus.III.75-79.1.positive,rmst,22,7.37 (5.59 to 8.79),7.37,5.59 to 8.79,5.59,8.79,(5.59 to 8.79)
Female.Anus.IV.75-79.1.positive,rmst,22,1.76 (1.23 to 3.02),1.76,1.23 to 3.02,1.23,3.02,(1.23 to 3.02)
Male.Anus.IV.75-79.1.positive,rmst,22,1.75 (1.27 to 2.88),1.75,1.27 to 2.88,1.27,2.88,(1.27 to 2.88)
