characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Male.Thyroid.II.60-64.1.negative,rmst,37,20.32 (20.09 to 20.32),20.32,20.09 to 20.32,20.09,20.32,(20.09 to 20.32)
Female.Thyroid.III.60-64.1.negative,rmst,37,22.74 (22.5 to 22.74),22.74,22.5 to 22.74,22.5,22.74,(22.5 to 22.74)
Male.Thyroid.III.60-64.1.negative,rmst,37,20.32 (20.09 to 20.32),20.32,20.09 to 20.32,20.09,20.32,(20.09 to 20.32)
Female.Thyroid.IV.60-64.1.negative,rmst,37,6.98 (4.65 to 12.11),6.98,4.65 to 12.11,4.65,12.11,(4.65 to 12.11)
Male.Thyroid.IV.60-64.1.negative,rmst,37,7.03 (4.37 to 12.03),7.03,4.37 to 12.03,4.37,12.03,(4.37 to 12.03)
Female.Thyroid.III.65-69.1.negative,rmst,32,18.57 (18.37 to 18.57),18.57,18.37 to 18.57,18.37,18.57,(18.37 to 18.57)
Male.Thyroid.III.65-69.1.negative,rmst,32,16.43 (16.23 to 16.43),16.43,16.23 to 16.43,16.23,16.43,(16.23 to 16.43)
Female.Thyroid.IV.65-69.1.negative,rmst,32,8.73 (5.86 to 11.71),8.73,5.86 to 11.71,5.86,11.71,(5.86 to 11.71)
Male.Thyroid.IV.65-69.1.negative,rmst,32,8.86 (5.72 to 11.17),8.86,5.72 to 11.17,5.72,11.17,(5.72 to 11.17)
Female.Thyroid.I.70-74.1.negative,rmst,27,14.6 (14.09 to 14.6),14.6,14.09 to 14.6,14.09,14.6,(14.09 to 14.6)
Male.Thyroid.I.70-74.1.negative,rmst,27,12.8 (12.47 to 12.8),12.8,12.47 to 12.8,12.47,12.8,(12.47 to 12.8)
Female.Thyroid.II.70-74.1.negative,rmst,27,14.6 (14.42 to 14.6),14.6,14.42 to 14.6,14.42,14.6,(14.42 to 14.6)
Male.Thyroid.II.70-74.1.negative,rmst,27,12.8 (12.6 to 12.8),12.8,12.6 to 12.8,12.6,12.8,(12.6 to 12.8)
Female.Thyroid.III.70-74.1.negative,rmst,27,14.6 (14.36 to 14.6),14.6,14.36 to 14.6,14.36,14.6,(14.36 to 14.6)
Male.Thyroid.III.70-74.1.negative,rmst,27,12.8 (12.56 to 12.8),12.8,12.56 to 12.8,12.56,12.8,(12.56 to 12.8)
Female.Thyroid.IV.70-74.1.negative,rmst,27,4.5 (3.16 to 6.48),4.5,3.16 to 6.48,3.16,6.48,(3.16 to 6.48)
Male.Thyroid.IV.70-74.1.negative,rmst,27,4.39 (3.19 to 6.25),4.39,3.19 to 6.25,3.19,6.25,(3.19 to 6.25)
Female.Thyroid.I.75-79.1.negative,rmst,22,11 (10.89 to 11),11,10.89 to 11,10.89,11,(10.89 to 11)
Male.Thyroid.I.75-79.1.negative,rmst,22,9.59 (9.49 to 9.59),9.59,9.49 to 9.59,9.49,9.59,(9.49 to 9.59)
Female.Thyroid.II.75-79.1.negative,rmst,22,11 (10.35 to 11),11,10.35 to 11,10.35,11,(10.35 to 11)
Male.Thyroid.II.75-79.1.negative,rmst,22,9.59 (8.96 to 9.59),9.59,8.96 to 9.59,8.96,9.59,(8.96 to 9.59)
Female.Thyroid.III.75-79.1.negative,rmst,22,11 (10.86 to 11),11,10.86 to 11,10.86,11,(10.86 to 11)
Male.Thyroid.III.75-79.1.negative,rmst,22,9.59 (9.46 to 9.59),9.59,9.46 to 9.59,9.46,9.59,(9.46 to 9.59)
Female.Thyroid.IV.75-79.1.negative,rmst,22,5.06 (3.65 to 6.22),5.06,3.65 to 6.22,3.65,6.22,(3.65 to 6.22)
Male.Thyroid.IV.75-79.1.negative,rmst,22,4.8 (3.55 to 5.82),4.8,3.55 to 5.82,3.55,5.82,(3.55 to 5.82)
Female.Thyroid.I.50-54.1.5.negative,rmst,47,31.64 (31.52 to 31.64),31.64,31.52 to 31.64,31.52,31.64,(31.52 to 31.64)
Male.Thyroid.I.50-54.1.5.negative,rmst,47,28.8 (28.69 to 28.8),28.8,28.69 to 28.8,28.69,28.8,(28.69 to 28.8)
Female.Thyroid.II.50-54.1.5.negative,rmst,47,31.64 (31.18 to 31.64),31.64,31.18 to 31.64,31.18,31.64,(31.18 to 31.64)
Male.Thyroid.II.50-54.1.5.negative,rmst,47,28.8 (28.45 to 28.8),28.8,28.45 to 28.8,28.45,28.8,(28.45 to 28.8)
Female.Thyroid.IV.50-54.1.5.negative,rmst,47,22.96 (14.22 to 27.89),22.96,14.22 to 27.89,14.22,27.89,(14.22 to 27.89)
Male.Thyroid.IV.50-54.1.5.negative,rmst,47,21.84 (14.36 to 25.59),21.84,14.36 to 25.59,14.36,25.59,(14.36 to 25.59)
Female.Thyroid.I.55-59.1.5.negative,rmst,42,27.11 (26.47 to 27.11),27.11,26.47 to 27.11,26.47,27.11,(26.47 to 27.11)
Male.Thyroid.I.55-59.1.5.negative,rmst,42,24.46 (24.11 to 24.46),24.46,24.11 to 24.46,24.11,24.46,(24.11 to 24.46)
Female.Thyroid.III.55-59.1.5.negative,rmst,42,27.11 (18.12 to 27.11),27.11,18.12 to 27.11,18.12,27.11,(18.12 to 27.11)
Male.Thyroid.III.55-59.1.5.negative,rmst,42,24.46 (21.57 to 24.46),24.46,21.57 to 24.46,21.57,24.46,(21.57 to 24.46)
Female.Thyroid.IV.55-59.1.5.negative,rmst,42,16.81 (11.53 to 20.73),16.81,11.53 to 20.73,11.53,20.73,(11.53 to 20.73)
Male.Thyroid.IV.55-59.1.5.negative,rmst,42,15.87 (11.01 to 19.4),15.87,11.01 to 19.4,11.01,19.4,(11.01 to 19.4)
Female.Thyroid.II.60-64.1.5.negative,rmst,37,22.74 (22.43 to 22.74),22.74,22.43 to 22.74,22.43,22.74,(22.43 to 22.74)
Male.Thyroid.II.60-64.1.5.negative,rmst,37,20.32 (20.1 to 20.32),20.32,20.1 to 20.32,20.1,20.32,(20.1 to 20.32)
Female.Thyroid.III.60-64.1.5.negative,rmst,37,22.74 (22.4 to 22.74),22.74,22.4 to 22.74,22.4,22.74,(22.4 to 22.74)
Male.Thyroid.III.60-64.1.5.negative,rmst,37,20.32 (19.84 to 20.32),20.32,19.84 to 20.32,19.84,20.32,(19.84 to 20.32)
Female.Thyroid.IV.60-64.1.5.negative,rmst,37,6.95 (4.48 to 12.32),6.95,4.48 to 12.32,4.48,12.32,(4.48 to 12.32)
Male.Thyroid.IV.60-64.1.5.negative,rmst,37,7.02 (4.77 to 12.24),7.02,4.77 to 12.24,4.77,12.24,(4.77 to 12.24)
Female.Thyroid.III.65-69.1.5.negative,rmst,32,18.57 (18.34 to 18.57),18.57,18.34 to 18.57,18.34,18.57,(18.34 to 18.57)
Male.Thyroid.III.65-69.1.5.negative,rmst,32,16.43 (16.22 to 16.43),16.43,16.22 to 16.43,16.22,16.43,(16.22 to 16.43)
Female.Thyroid.IV.65-69.1.5.negative,rmst,32,8.78 (5.58 to 11.8),8.78,5.58 to 11.8,5.58,11.8,(5.58 to 11.8)
Male.Thyroid.IV.65-69.1.5.negative,rmst,32,8.72 (5.83 to 11.01),8.72,5.83 to 11.01,5.83,11.01,(5.83 to 11.01)
Female.Thyroid.I.70-74.1.5.negative,rmst,27,14.6 (14.2 to 14.6),14.6,14.2 to 14.6,14.2,14.6,(14.2 to 14.6)
Male.Thyroid.I.70-74.1.5.negative,rmst,27,12.8 (12.61 to 12.8),12.8,12.61 to 12.8,12.61,12.8,(12.61 to 12.8)
Female.Thyroid.II.70-74.1.5.negative,rmst,27,14.6 (14.42 to 14.6),14.6,14.42 to 14.6,14.42,14.6,(14.42 to 14.6)
Male.Thyroid.II.70-74.1.5.negative,rmst,27,12.8 (12.65 to 12.8),12.8,12.65 to 12.8,12.65,12.8,(12.65 to 12.8)
Female.Thyroid.III.70-74.1.5.negative,rmst,27,14.6 (14.33 to 14.6),14.6,14.33 to 14.6,14.33,14.6,(14.33 to 14.6)
Male.Thyroid.III.70-74.1.5.negative,rmst,27,12.8 (12.59 to 12.8),12.8,12.59 to 12.8,12.59,12.8,(12.59 to 12.8)
Female.Thyroid.IV.70-74.1.5.negative,rmst,27,4.37 (3.13 to 6.29),4.37,3.13 to 6.29,3.13,6.29,(3.13 to 6.29)
Male.Thyroid.IV.70-74.1.5.negative,rmst,27,4.37 (3.11 to 6.2),4.37,3.11 to 6.2,3.11,6.2,(3.11 to 6.2)
Female.Thyroid.I.75-79.1.5.negative,rmst,22,11 (10.83 to 11),11,10.83 to 11,10.83,11,(10.83 to 11)
Male.Thyroid.I.75-79.1.5.negative,rmst,22,9.59 (9.46 to 9.59),9.59,9.46 to 9.59,9.46,9.59,(9.46 to 9.59)
Female.Thyroid.II.75-79.1.5.negative,rmst,22,11 (7.35 to 11),11,7.35 to 11,7.35,11,(7.35 to 11)
Male.Thyroid.II.75-79.1.5.negative,rmst,22,9.59 (9 to 9.59),9.59,9 to 9.59,9,9.59,(9 to 9.59)
Female.Thyroid.III.75-79.1.5.negative,rmst,22,11 (10.72 to 11),11,10.72 to 11,10.72,11,(10.72 to 11)
Male.Thyroid.III.75-79.1.5.negative,rmst,22,9.59 (9.5 to 9.59),9.59,9.5 to 9.59,9.5,9.59,(9.5 to 9.59)
Female.Thyroid.IV.75-79.1.5.negative,rmst,22,5.11 (3.62 to 6.24),5.11,3.62 to 6.24,3.62,6.24,(3.62 to 6.24)
Male.Thyroid.IV.75-79.1.5.negative,rmst,22,4.84 (3.48 to 5.81),4.84,3.48 to 5.81,3.48,5.81,(3.48 to 5.81)
Female.Thyroid.I.50-54.3.negative,rmst,47,31.64 (31.43 to 31.64),31.64,31.43 to 31.64,31.43,31.64,(31.43 to 31.64)
Male.Thyroid.I.50-54.3.negative,rmst,47,28.8 (28.66 to 28.8),28.8,28.66 to 28.8,28.66,28.8,(28.66 to 28.8)
Female.Thyroid.II.50-54.3.negative,rmst,47,31.64 (31.31 to 31.64),31.64,31.31 to 31.64,31.31,31.64,(31.31 to 31.64)
Male.Thyroid.II.50-54.3.negative,rmst,47,28.8 (28.44 to 28.8),28.8,28.44 to 28.8,28.44,28.8,(28.44 to 28.8)
Female.Thyroid.IV.50-54.3.negative,rmst,47,23.19 (14.77 to 27.69),23.19,14.77 to 27.69,14.77,27.69,(14.77 to 27.69)
Male.Thyroid.IV.50-54.3.negative,rmst,47,21.61 (13.86 to 25.51),21.61,13.86 to 25.51,13.86,25.51,(13.86 to 25.51)
Female.Thyroid.I.55-59.3.negative,rmst,42,27.11 (26.64 to 27.11),27.11,26.64 to 27.11,26.64,27.11,(26.64 to 27.11)
Male.Thyroid.I.55-59.3.negative,rmst,42,24.46 (24.09 to 24.46),24.46,24.09 to 24.46,24.09,24.46,(24.09 to 24.46)
Female.Thyroid.III.55-59.3.negative,rmst,42,27.11 (18.31 to 27.11),27.11,18.31 to 27.11,18.31,27.11,(18.31 to 27.11)
Male.Thyroid.III.55-59.3.negative,rmst,42,24.46 (21.46 to 24.46),24.46,21.46 to 24.46,21.46,24.46,(21.46 to 24.46)
Female.Thyroid.IV.55-59.3.negative,rmst,42,16.99 (11.23 to 21.11),16.99,11.23 to 21.11,11.23,21.11,(11.23 to 21.11)
Male.Thyroid.IV.55-59.3.negative,rmst,42,16.03 (10.99 to 19.41),16.03,10.99 to 19.41,10.99,19.41,(10.99 to 19.41)
Female.Thyroid.II.60-64.3.negative,rmst,37,22.74 (22.53 to 22.74),22.74,22.53 to 22.74,22.53,22.74,(22.53 to 22.74)
Male.Thyroid.II.60-64.3.negative,rmst,37,20.32 (19.98 to 20.32),20.32,19.98 to 20.32,19.98,20.32,(19.98 to 20.32)
Female.Thyroid.III.60-64.3.negative,rmst,37,22.74 (22.48 to 22.74),22.74,22.48 to 22.74,22.48,22.74,(22.48 to 22.74)
Male.Thyroid.III.60-64.3.negative,rmst,37,20.32 (20.1 to 20.32),20.32,20.1 to 20.32,20.1,20.32,(20.1 to 20.32)
Female.Thyroid.IV.60-64.3.negative,rmst,37,6.83 (4.44 to 12.49),6.83,4.44 to 12.49,4.44,12.49,(4.44 to 12.49)
Male.Thyroid.IV.60-64.3.negative,rmst,37,6.68 (4.62 to 12.31),6.68,4.62 to 12.31,4.62,12.31,(4.62 to 12.31)
Female.Thyroid.III.65-69.3.negative,rmst,32,18.57 (18.23 to 18.57),18.57,18.23 to 18.57,18.23,18.57,(18.23 to 18.57)
Male.Thyroid.III.65-69.3.negative,rmst,32,16.43 (16.19 to 16.43),16.43,16.19 to 16.43,16.19,16.43,(16.19 to 16.43)
Female.Thyroid.IV.65-69.3.negative,rmst,32,8.72 (5.69 to 11.91),8.72,5.69 to 11.91,5.69,11.91,(5.69 to 11.91)
Male.Thyroid.IV.65-69.3.negative,rmst,32,8.86 (5.88 to 11.13),8.86,5.88 to 11.13,5.88,11.13,(5.88 to 11.13)
Female.Thyroid.I.70-74.3.negative,rmst,27,14.6 (14.15 to 14.6),14.6,14.15 to 14.6,14.15,14.6,(14.15 to 14.6)
Male.Thyroid.I.70-74.3.negative,rmst,27,12.8 (12.6 to 12.8),12.8,12.6 to 12.8,12.6,12.8,(12.6 to 12.8)
Female.Thyroid.II.70-74.3.negative,rmst,27,14.6 (14.43 to 14.6),14.6,14.43 to 14.6,14.43,14.6,(14.43 to 14.6)
Male.Thyroid.II.70-74.3.negative,rmst,27,12.8 (12.66 to 12.8),12.8,12.66 to 12.8,12.66,12.8,(12.66 to 12.8)
Female.Thyroid.III.70-74.3.negative,rmst,27,14.6 (14.3 to 14.6),14.6,14.3 to 14.6,14.3,14.6,(14.3 to 14.6)
Male.Thyroid.III.70-74.3.negative,rmst,27,12.8 (12.63 to 12.8),12.8,12.63 to 12.8,12.63,12.8,(12.63 to 12.8)
Female.Thyroid.IV.70-74.3.negative,rmst,27,4.34 (3.19 to 6.28),4.34,3.19 to 6.28,3.19,6.28,(3.19 to 6.28)
Male.Thyroid.IV.70-74.3.negative,rmst,27,4.38 (3.12 to 6.1),4.38,3.12 to 6.1,3.12,6.1,(3.12 to 6.1)
Female.Thyroid.I.75-79.3.negative,rmst,22,11 (10.72 to 11),11,10.72 to 11,10.72,11,(10.72 to 11)
Male.Thyroid.I.75-79.3.negative,rmst,22,9.59 (9.48 to 9.59),9.59,9.48 to 9.59,9.48,9.59,(9.48 to 9.59)
Female.Thyroid.II.75-79.3.negative,rmst,22,11 (9.32 to 11),11,9.32 to 11,9.32,11,(9.32 to 11)
Male.Thyroid.II.75-79.3.negative,rmst,22,9.59 (9.09 to 9.59),9.59,9.09 to 9.59,9.09,9.59,(9.09 to 9.59)
Female.Thyroid.III.75-79.3.negative,rmst,22,11 (10.84 to 11),11,10.84 to 11,10.84,11,(10.84 to 11)
Male.Thyroid.III.75-79.3.negative,rmst,22,9.59 (9.47 to 9.59),9.59,9.47 to 9.59,9.47,9.59,(9.47 to 9.59)
Female.Thyroid.IV.75-79.3.negative,rmst,22,4.98 (3.64 to 6.19),4.98,3.64 to 6.19,3.64,6.19,(3.64 to 6.19)
Male.Thyroid.IV.75-79.3.negative,rmst,22,4.83 (3.5 to 5.88),4.83,3.5 to 5.88,3.5,5.88,(3.5 to 5.88)
Female.Thyroid.I.50-54.1.positive,rmst,47,31.64 (31.39 to 31.64),31.64,31.39 to 31.64,31.39,31.64,(31.39 to 31.64)
Male.Thyroid.I.50-54.1.positive,rmst,47,28.8 (28.65 to 28.8),28.8,28.65 to 28.8,28.65,28.8,(28.65 to 28.8)
Female.Thyroid.II.50-54.1.positive,rmst,47,31.64 (31.15 to 31.64),31.64,31.15 to 31.64,31.15,31.64,(31.15 to 31.64)
Male.Thyroid.II.50-54.1.positive,rmst,47,28.8 (28.48 to 28.8),28.8,28.48 to 28.8,28.48,28.8,(28.48 to 28.8)
Female.Thyroid.IV.50-54.1.positive,rmst,47,23.27 (15.12 to 27.73),23.27,15.12 to 27.73,15.12,27.73,(15.12 to 27.73)
Male.Thyroid.IV.50-54.1.positive,rmst,47,21.43 (13.33 to 25.41),21.43,13.33 to 25.41,13.33,25.41,(13.33 to 25.41)
Female.Thyroid.I.55-59.1.positive,rmst,42,27.11 (26.43 to 27.11),27.11,26.43 to 27.11,26.43,27.11,(26.43 to 27.11)
Male.Thyroid.I.55-59.1.positive,rmst,42,24.46 (23.95 to 24.46),24.46,23.95 to 24.46,23.95,24.46,(23.95 to 24.46)
Female.Thyroid.III.55-59.1.positive,rmst,42,27.11 (18.29 to 27.11),27.11,18.29 to 27.11,18.29,27.11,(18.29 to 27.11)
Male.Thyroid.III.55-59.1.positive,rmst,42,24.46 (20.62 to 24.46),24.46,20.62 to 24.46,20.62,24.46,(20.62 to 24.46)
Female.Thyroid.IV.55-59.1.positive,rmst,42,17.12 (11.06 to 20.97),17.12,11.06 to 20.97,11.06,20.97,(11.06 to 20.97)
Male.Thyroid.IV.55-59.1.positive,rmst,42,15.93 (11.05 to 19.35),15.93,11.05 to 19.35,11.05,19.35,(11.05 to 19.35)
Female.Thyroid.II.60-64.1.positive,rmst,37,22.74 (22.48 to 22.74),22.74,22.48 to 22.74,22.48,22.74,(22.48 to 22.74)
Male.Thyroid.II.60-64.1.positive,rmst,37,20.32 (20.16 to 20.32),20.32,20.16 to 20.32,20.16,20.32,(20.16 to 20.32)
Female.Thyroid.III.60-64.1.positive,rmst,37,22.74 (22.43 to 22.74),22.74,22.43 to 22.74,22.43,22.74,(22.43 to 22.74)
Male.Thyroid.III.60-64.1.positive,rmst,37,20.32 (20.1 to 20.32),20.32,20.1 to 20.32,20.1,20.32,(20.1 to 20.32)
Female.Thyroid.IV.60-64.1.positive,rmst,37,7.02 (4.57 to 12.03),7.02,4.57 to 12.03,4.57,12.03,(4.57 to 12.03)
Male.Thyroid.IV.60-64.1.positive,rmst,37,6.96 (4.47 to 12.04),6.96,4.47 to 12.04,4.47,12.04,(4.47 to 12.04)
Female.Thyroid.III.65-69.1.positive,rmst,32,18.57 (18.23 to 18.57),18.57,18.23 to 18.57,18.23,18.57,(18.23 to 18.57)
Male.Thyroid.III.65-69.1.positive,rmst,32,16.43 (16.13 to 16.43),16.43,16.13 to 16.43,16.13,16.43,(16.13 to 16.43)
Female.Thyroid.IV.65-69.1.positive,rmst,32,8.78 (5.71 to 11.69),8.78,5.71 to 11.69,5.71,11.69,(5.71 to 11.69)
Male.Thyroid.IV.65-69.1.positive,rmst,32,8.71 (5.75 to 11.07),8.71,5.75 to 11.07,5.75,11.07,(5.75 to 11.07)
Female.Thyroid.I.70-74.1.positive,rmst,27,14.6 (14.38 to 14.6),14.6,14.38 to 14.6,14.38,14.6,(14.38 to 14.6)
Male.Thyroid.I.70-74.1.positive,rmst,27,12.8 (12.57 to 12.8),12.8,12.57 to 12.8,12.57,12.8,(12.57 to 12.8)
Female.Thyroid.II.70-74.1.positive,rmst,27,14.6 (14.3 to 14.6),14.6,14.3 to 14.6,14.3,14.6,(14.3 to 14.6)
Male.Thyroid.II.70-74.1.positive,rmst,27,12.8 (12.6 to 12.8),12.8,12.6 to 12.8,12.6,12.8,(12.6 to 12.8)
Female.Thyroid.III.70-74.1.positive,rmst,27,14.6 (14.37 to 14.6),14.6,14.37 to 14.6,14.37,14.6,(14.37 to 14.6)
Male.Thyroid.III.70-74.1.positive,rmst,27,12.8 (12.6 to 12.8),12.8,12.6 to 12.8,12.6,12.8,(12.6 to 12.8)
Female.Thyroid.IV.70-74.1.positive,rmst,27,4.37 (3.12 to 6.21),4.37,3.12 to 6.21,3.12,6.21,(3.12 to 6.21)
Male.Thyroid.IV.70-74.1.positive,rmst,27,4.4 (3.23 to 6.14),4.4,3.23 to 6.14,3.23,6.14,(3.23 to 6.14)
Female.Thyroid.I.75-79.1.positive,rmst,22,11 (10.88 to 11),11,10.88 to 11,10.88,11,(10.88 to 11)
Male.Thyroid.I.75-79.1.positive,rmst,22,9.59 (9.44 to 9.59),9.59,9.44 to 9.59,9.44,9.59,(9.44 to 9.59)
Female.Thyroid.II.75-79.1.positive,rmst,22,11 (10.08 to 11),11,10.08 to 11,10.08,11,(10.08 to 11)
Male.Thyroid.II.75-79.1.positive,rmst,22,9.59 (8.59 to 9.59),9.59,8.59 to 9.59,8.59,9.59,(8.59 to 9.59)
Female.Thyroid.III.75-79.1.positive,rmst,22,11 (10.71 to 11),11,10.71 to 11,10.71,11,(10.71 to 11)
Male.Thyroid.III.75-79.1.positive,rmst,22,9.59 (7.92 to 9.59),9.59,7.92 to 9.59,7.92,9.59,(7.92 to 9.59)
Female.Thyroid.IV.75-79.1.positive,rmst,22,5.05 (3.64 to 6.29),5.05,3.64 to 6.29,3.64,6.29,(3.64 to 6.29)
Male.Thyroid.IV.75-79.1.positive,rmst,22,4.8 (3.5 to 5.8),4.8,3.5 to 5.8,3.5,5.8,(3.5 to 5.8)
Female.Thyroid.I.50-54.1.5.positive,rmst,47,31.64 (31.41 to 31.64),31.64,31.41 to 31.64,31.41,31.64,(31.41 to 31.64)
Male.Thyroid.I.50-54.1.5.positive,rmst,47,28.8 (28.58 to 28.8),28.8,28.58 to 28.8,28.58,28.8,(28.58 to 28.8)
Female.Thyroid.II.50-54.1.5.positive,rmst,47,31.64 (30.8 to 31.64),31.64,30.8 to 31.64,30.8,31.64,(30.8 to 31.64)
Male.Thyroid.II.50-54.1.5.positive,rmst,47,28.8 (28.35 to 28.8),28.8,28.35 to 28.8,28.35,28.8,(28.35 to 28.8)
Female.Thyroid.IV.50-54.1.5.positive,rmst,47,18.42 (10.65 to 25.01),18.42,10.65 to 25.01,10.65,25.01,(10.65 to 25.01)
Male.Thyroid.IV.50-54.1.5.positive,rmst,47,17.53 (10.46 to 23.1),17.53,10.46 to 23.1,10.46,23.1,(10.46 to 23.1)
Female.Thyroid.I.55-59.1.5.positive,rmst,42,27.11 (25.99 to 27.11),27.11,25.99 to 27.11,25.99,27.11,(25.99 to 27.11)
Male.Thyroid.I.55-59.1.5.positive,rmst,42,24.46 (23.98 to 24.46),24.46,23.98 to 24.46,23.98,24.46,(23.98 to 24.46)
Female.Thyroid.III.55-59.1.5.positive,rmst,42,24.25 (14.29 to 27.11),24.25,14.29 to 27.11,14.29,27.11,(14.29 to 27.11)
Male.Thyroid.III.55-59.1.5.positive,rmst,42,24.46 (18.51 to 24.46),24.46,18.51 to 24.46,18.51,24.46,(18.51 to 24.46)
Female.Thyroid.IV.55-59.1.5.positive,rmst,42,11.82 (7.49 to 16.6),11.82,7.49 to 16.6,7.49,16.6,(7.49 to 16.6)
Male.Thyroid.IV.55-59.1.5.positive,rmst,42,11.43 (7.58 to 15.76),11.43,7.58 to 15.76,7.58,15.76,(7.58 to 15.76)
Female.Thyroid.II.60-64.1.5.positive,rmst,37,22.74 (22.45 to 22.74),22.74,22.45 to 22.74,22.45,22.74,(22.45 to 22.74)
Male.Thyroid.II.60-64.1.5.positive,rmst,37,20.32 (20.01 to 20.32),20.32,20.01 to 20.32,20.01,20.32,(20.01 to 20.32)
Female.Thyroid.III.60-64.1.5.positive,rmst,37,22.74 (22.25 to 22.74),22.74,22.25 to 22.74,22.25,22.74,(22.25 to 22.74)
Male.Thyroid.III.60-64.1.5.positive,rmst,37,20.32 (19.99 to 20.32),20.32,19.99 to 20.32,19.99,20.32,(19.99 to 20.32)
Female.Thyroid.IV.60-64.1.5.positive,rmst,37,4.83 (3.33 to 8.16),4.83,3.33 to 8.16,3.33,8.16,(3.33 to 8.16)
Male.Thyroid.IV.60-64.1.5.positive,rmst,37,4.81 (3.49 to 7.98),4.81,3.49 to 7.98,3.49,7.98,(3.49 to 7.98)
Female.Thyroid.II.65-69.1.5.positive,rmst,32,18.57 (17.95 to 18.57),18.57,17.95 to 18.57,17.95,18.57,(17.95 to 18.57)
Male.Thyroid.II.65-69.1.5.positive,rmst,32,16.43 (16.1 to 16.43),16.43,16.1 to 16.43,16.1,16.43,(16.1 to 16.43)
Female.Thyroid.III.65-69.1.5.positive,rmst,32,18.57 (18.01 to 18.57),18.57,18.01 to 18.57,18.01,18.57,(18.01 to 18.57)
Male.Thyroid.III.65-69.1.5.positive,rmst,32,16.43 (15.98 to 16.43),16.43,15.98 to 16.43,15.98,16.43,(15.98 to 16.43)
Female.Thyroid.IV.65-69.1.5.positive,rmst,32,6.02 (4.12 to 8.66),6.02,4.12 to 8.66,4.12,8.66,(4.12 to 8.66)
Male.Thyroid.IV.65-69.1.5.positive,rmst,32,5.97 (3.98 to 8.35),5.97,3.98 to 8.35,3.98,8.35,(3.98 to 8.35)
Female.Thyroid.I.70-74.1.5.positive,rmst,27,14.6 (14.18 to 14.6),14.6,14.18 to 14.6,14.18,14.6,(14.18 to 14.6)
Male.Thyroid.I.70-74.1.5.positive,rmst,27,12.8 (12.32 to 12.8),12.8,12.32 to 12.8,12.32,12.8,(12.32 to 12.8)
Female.Thyroid.II.70-74.1.5.positive,rmst,27,14.6 (14.37 to 14.6),14.6,14.37 to 14.6,14.37,14.6,(14.37 to 14.6)
Male.Thyroid.II.70-74.1.5.positive,rmst,27,12.8 (12.66 to 12.8),12.8,12.66 to 12.8,12.66,12.8,(12.66 to 12.8)
Female.Thyroid.III.70-74.1.5.positive,rmst,27,14.6 (14.32 to 14.6),14.6,14.32 to 14.6,14.32,14.6,(14.32 to 14.6)
Male.Thyroid.III.70-74.1.5.positive,rmst,27,12.8 (12.58 to 12.8),12.8,12.58 to 12.8,12.58,12.8,(12.58 to 12.8)
Female.Thyroid.IV.70-74.1.5.positive,rmst,27,2.54 (1.94 to 3.6),2.54,1.94 to 3.6,1.94,3.6,(1.94 to 3.6)
Male.Thyroid.IV.70-74.1.5.positive,rmst,27,2.57 (1.94 to 3.58),2.57,1.94 to 3.58,1.94,3.58,(1.94 to 3.58)
Female.Thyroid.I.75-79.1.5.positive,rmst,22,11 (10.83 to 11),11,10.83 to 11,10.83,11,(10.83 to 11)
