"","Cancer type","Stage","50-54","55-59","60-64","65-69","70-74","75-79"
"57","Pancreas","I",11.47,8.215,5.855,5.83,4.21,2.705
"58","Pancreas","II",3.72,3.35,3.45,3.31,2.63,2.67
"59","Pancreas","III",2.23,2.105,1.435,1.545,1.47,1.275
"60","Pancreas","IV",1.115,1.095,0.69,0.58,0.5,0.45
"61","Prostate","I",28.8,24.46,NA,NA,NA,NA
"62","Prostate","II",28.8,24.46,20.32,NA,NA,9.59
"63","Prostate","III",28.8,24.46,20.32,16.43,12.8,NA
"64","Prostate","IV",9.78,7.26,8.33,7.93,7,6.04
"65","Sarcoma","I",25.835,22.175,16.44,15.595,12.525,10.295
"66","Sarcoma","II",13.87,13.965,13.845,9.51,11.065,8.12
"67","Sarcoma","III",7.04,9.545,9.16,7.37,7.47,4.43
"68","Sarcoma","IV",2.875,1.61,1.39,1.44,1.3,1.435
"69","Stomach","I",17.09,12.055,10.38,14.08,10.77,8.605
"70","Stomach","II",12.01,8.375,4.655,8.43,5.24,4.545
"71","Stomach","III",6.19,5.365,4.8,4.775,3.645,3.425
"72","Stomach","IV",1.175,1.84,1.2,1.125,1.155,0.85
"73","Thyroid","I",30.22,25.785,NA,NA,13.7,10.295
"74","Thyroid","II",30.22,NA,21.53,NA,13.7,10.295
"75","Thyroid","IV",22.05,16.625,7.005,8.795,4.445,4.93
"76","Thyroid","III",NA,25.785,21.53,17.5,13.7,10.295
"77","Urothelial Tract","I",29.845,23.66,16.855,15.395,13.615,10.295
"78","Urothelial Tract","II",27.785,NA,14.71,13.14,11.04,9.3
"79","Urothelial Tract","III",13.61,13.89,9.325,6.945,7.325,6.65
"80","Urothelial Tract","IV",2.085,4.78,1.645,2.66,2.185,1.315
"81","Uterus","I",31.58,26.8,22.74,18.32,14.6,11
"82","Uterus","II",27.31,20.44,18.55,13.69,12.45,8.71
"83","Uterus","III",14.73,11.54,8.69,7.29,6.33,5.03
"84","Uterus","IV",3.02,3.55,3.13,3.31,2.24,2.32
